table,column,type,not_null,primary_key,default,description
account,id,INTEGER,0,1,,Column id in account
account,canonical_id,TEXT,1,0,,Column canonical_id in account
account,immutable_uuid,TEXT,1,0,,Column immutable_uuid in account
account,name,TEXT,1,0,,Column name in account
account,status,TEXT,1,0,,Column status in account
account,event_at,TEXT,0,0,,Column event_at in account
account,recorded_at,TEXT,0,0,,Column recorded_at in account
account,available_at,TEXT,0,0,,Column available_at in account
account,amount_minor,INTEGER,1,0,0,Column amount_minor in account
account,quantity_milli,INTEGER,1,0,0,Column quantity_milli in account
account,source_system,TEXT,1,0,,Column source_system in account
account,provenance,TEXT,1,0,,Column provenance in account
action_item,id,INTEGER,0,1,,Column id in action_item
action_item,canonical_id,TEXT,1,0,,Column canonical_id in action_item
action_item,immutable_uuid,TEXT,1,0,,Column immutable_uuid in action_item
action_item,name,TEXT,1,0,,Column name in action_item
action_item,status,TEXT,1,0,,Column status in action_item
action_item,event_at,TEXT,0,0,,Column event_at in action_item
action_item,recorded_at,TEXT,0,0,,Column recorded_at in action_item
action_item,available_at,TEXT,0,0,,Column available_at in action_item
action_item,amount_minor,INTEGER,1,0,0,Column amount_minor in action_item
action_item,quantity_milli,INTEGER,1,0,0,Column quantity_milli in action_item
action_item,source_system,TEXT,1,0,,Column source_system in action_item
action_item,provenance,TEXT,1,0,,Column provenance in action_item
actual_shift,id,INTEGER,0,1,,Column id in actual_shift
actual_shift,canonical_id,TEXT,1,0,,Column canonical_id in actual_shift
actual_shift,immutable_uuid,TEXT,1,0,,Column immutable_uuid in actual_shift
actual_shift,name,TEXT,1,0,,Column name in actual_shift
actual_shift,status,TEXT,1,0,,Column status in actual_shift
actual_shift,event_at,TEXT,0,0,,Column event_at in actual_shift
actual_shift,recorded_at,TEXT,0,0,,Column recorded_at in actual_shift
actual_shift,available_at,TEXT,0,0,,Column available_at in actual_shift
actual_shift,amount_minor,INTEGER,1,0,0,Column amount_minor in actual_shift
actual_shift,quantity_milli,INTEGER,1,0,0,Column quantity_milli in actual_shift
actual_shift,source_system,TEXT,1,0,,Column source_system in actual_shift
actual_shift,provenance,TEXT,1,0,,Column provenance in actual_shift
application_system,id,INTEGER,0,1,,Column id in application_system
application_system,canonical_id,TEXT,1,0,,Column canonical_id in application_system
application_system,immutable_uuid,TEXT,1,0,,Column immutable_uuid in application_system
application_system,name,TEXT,1,0,,Column name in application_system
application_system,status,TEXT,1,0,,Column status in application_system
application_system,event_at,TEXT,0,0,,Column event_at in application_system
application_system,recorded_at,TEXT,0,0,,Column recorded_at in application_system
application_system,available_at,TEXT,0,0,,Column available_at in application_system
application_system,amount_minor,INTEGER,1,0,0,Column amount_minor in application_system
