account,account_type,available_at,cash_flow,created_on,credit_usd,debit_usd,description,effective_period_end,entity,fact_state,journal_id,line_no,month,period_role,record_origin,scenario,segment,signed_usd,source_id,source_type,unit,year
4000,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,26663777.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1551,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,26663777.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,7233860.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1552,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-7233860.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5100,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,12050903.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1553,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-12050903.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5300,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1429143.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1554,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1429143.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5400,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1507879.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1555,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1507879.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5501,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,216667.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1556,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-216667.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5700,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,638096.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1557,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-638096.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5900,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,841115.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1558,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,841115.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5500,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,813743.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1559,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-813743.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5200,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,110660.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1560,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-110660.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
4100,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,113680.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1561,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,113680.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,3617621.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ARU,CONDITIONAL_FORECAST,ENT-base-0000388,1562,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-3617621.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
4000,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,15590785.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1563,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,15590785.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,5916461.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1564,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-5916461.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5100,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,7429847.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1565,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-7429847.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5300,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1746731.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1566,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1746731.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5400,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,131120.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1567,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-131120.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5700,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,78685.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1568,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-78685.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5900,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,841115.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1569,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-841115.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
4100,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,57700.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1570,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,57700.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
5200,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,30920.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1571,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-30920.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,526394.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,BST,CONDITIONAL_FORECAST,ENT-base-0000389,1572,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,526394.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,american-resource-utility,2027
4100,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1671380.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ELIM,CONDITIONAL_FORECAST,ENT-base-0000390,1573,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1671380.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,eliminations,2027
5150,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,1671380.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,ELIM,CONDITIONAL_FORECAST,ENT-base-0000390,1574,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,1671380.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,eliminations,2027
4100,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,1500000.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,PS,CONDITIONAL_FORECAST,ENT-base-0000391,1575,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,1500000.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
5100,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1500000.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,PS,CONDITIONAL_FORECAST,ENT-base-0000391,1576,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1500000.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
4000,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,36475000.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1577,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,36475000.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
5100,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,29721038.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1578,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-29721038.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
5150,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1671380.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1579,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1671380.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
