scenario,year,month,invoice_id,seller_entity,buyer_entity,segment,commodity,physical_cars,revenue_usd,external_variable_cost_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,2027,1,IC-base-202701-acid-BST,ARU_GROUP,RWH_PS,BST,acid,4,3876,1689,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-acid-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,acid,4,2856,1607,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-acid-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,acid,4,5549,3790,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-binder-BST,ARU_GROUP,RWH_PS,BST,binder,5,4335,1854,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-binder-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,binder,5,2040,1185,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-binder-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,binder,5,5814,3914,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-lime-BST,ARU_GROUP,RWH_PS,BST,lime,1,867,371,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-lime-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,lime,1,459,258,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-lime-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,lime,1,1224,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-steel-BST,ARU_GROUP,RWH_PS,BST,steel,2,1938,886,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-steel-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,steel,2,1326,762,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-steel-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,steel,2,2295,1545,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-mro-BST,ARU_GROUP,RWH_PS,BST,mro,1,765,309,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-mro-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,mro,1,510,299,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
