assets_usd,available_at,created_on,ending_cash_usd,entity,equity_usd,expense_usd,fact_state,financing_cash_flow_usd,investing_cash_flow_usd,liabilities_usd,month,net_income_usd,opening_cash_usd,opening_or_noncash_cash_bridge_usd,operating_cash_flow_usd,period_role,record_origin,revenue_usd,scenario,year
211056782.4064,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,SHI,123532535.7396,10092046.1843,CONDITIONAL_FORECAST,10804779.3907,-3820787.0000,87524246.6668,1,-5303712.8510,2000000.0000,0.0000,-6983992.3907,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4788333.3333,base,2027
114704800.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,114704800.0000,0.0000,CONDITIONAL_FORECAST,3260787.0000,-3260787.0000,0.0000,1,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
58699920.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,58666586.6667,162083.1547,CONDITIONAL_FORECAST,3260787.0000,-3260787.0000,33333.3333,1,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
75753493.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,RWH,55843362.0000,2956102.0000,CONDITIONAL_FORECAST,3260787.0000,-593333.0000,19910131.0000,1,12817.0000,2000000.0000,0.0000,-2667454.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2968919.0000,base,2027
83489378.0000,2026-09-09T00:00:00Z,2026-09-09,2446170.0000,ARU,59624453.0000,1979818.0000,CONDITIONAL_FORECAST,-369782.0000,-127462.0000,23864925.0000,1,1952.0000,2938908.0000,0.0000,4506.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1981770.0000,base,2027
37703515.0000,2026-09-09T00:00:00Z,2026-09-09,1048358.0000,BST,23048960.0000,1325525.0000,CONDITIONAL_FORECAST,-46885.0000,-155788.0000,14654555.0000,1,-134646.0000,1259532.0000,0.0000,-8501.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1190879.0000,base,2027
-312837370.3333,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-312719520.0000,-246600.1547,CONDITIONAL_FORECAST,-9782361.0000,9782361.0000,-117850.3333,1,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-246600.1547,base,2027
258053928.0731,2026-09-09T00:00:00Z,2026-09-09,7494528.0000,CONSOLIDATED,122701177.4063,16268974.1843,CONDITIONAL_FORECAST,10388112.3907,-1436583.0000,135352750.6668,1,-5456923.1843,8198440.0000,0.0000,-9655441.3907,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,10812051.0000,base,2027
208572662.0022,2026-09-09T00:00:00Z,2026-09-09,48127586.6759,SHI,124327233.4714,5231344.9215,CONDITIONAL_FORECAST,762349.0000,-1692349.0000,84245428.5308,2,-67651.2682,2000000.0000,0.0000,47057586.6759,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5163693.6533,base,2027
115567149.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,115567149.0000,0.0000,CONDITIONAL_FORECAST,862349.0000,-862349.0000,0.0000,2,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
