account,account_type,available_at,created_on,entity,fact_state,month,period_role,record_origin,scenario,signed_usd,view_type,year
1000,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2446170.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1100,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2940923.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1150,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-18414.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1180,intercompany,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,10516590.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1200,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1214138.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1300,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,504700.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1400,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,27824962.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1490,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-1336311.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1500,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1000000.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1590,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-213380.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1600,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,14762500.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1700,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,235968.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
1800,asset,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,137500.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
2000,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-964550.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
2100,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-515000.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
2200,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-550000.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
2250,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-234722.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
2400,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-21000000.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
2600,liability,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-786621.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
3000,equity,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-56004880.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-3617621.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
4000,revenue,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-1959034.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
4100,revenue,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-22736.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5000,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,631085.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5100,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,982667.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5200,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,17727.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5300,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,147220.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5400,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,126160.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5501,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,18055.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
5700,expense,2026-09-09T00:00:00Z,2026-09-09,ARU,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,6904.0000,ALLOCATED_LEGAL_MANAGEMENT_BOOK,2027
