assets_usd,available_at,created_on,ending_cash_usd,entity,equity_usd,expense_usd,fact_state,financing_cash_flow_usd,investing_cash_flow_usd,liabilities_usd,month,net_income_usd,opening_cash_usd,opening_or_noncash_cash_bridge_usd,operating_cash_flow_usd,period_role,record_origin,revenue_usd,scenario,unit,view_type,year
40583988.3053,2026-09-09T00:00:00Z,2026-09-09,-12056411.6947,foundry-field,-10828211.6947,5370133.3280,CONDITIONAL_FORECAST,0.0000,0.0000,51412200.0000,1,-705133.3280,-10123078.3667,0.0000,-1933333.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
-295000.0000,2026-09-09T00:00:00Z,2026-09-09,-535000.0000,willow,-582012.0000,333500.0000,CONDITIONAL_FORECAST,0.0000,-240000.0000,287012.0000,1,-333500.0000,0.0000,0.0000,-295000.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,willow,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
175379.5012,2026-09-09T00:00:00Z,2026-09-09,-295020.4988,atlas-meridian,-515932.4988,537399.9988,CONDITIONAL_FORECAST,0.0000,0.0000,691312.0000,1,-497399.9988,229979.5000,0.0000,-524999.9988,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,40000.0000,base,atlas-meridian,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
82309.4995,2026-09-09T00:00:00Z,2026-09-09,-507500.0006,project-cradle,-239278.4005,174750.0005,CONDITIONAL_FORECAST,0.0000,-320000.0000,321587.9000,1,-174750.0005,0.0000,0.0000,-187500.0006,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,project-cradle,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
323865.6656,2026-09-09T00:00:00Z,2026-09-09,-418333.3344,advisory,-461158.3344,424093.3344,CONDITIONAL_FORECAST,0.0000,0.0000,785024.0000,1,-424093.3344,0.0000,0.0000,-418333.3344,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,advisory,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
134453413.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,pale-sun,114509948.6667,3118185.1547,CONDITIONAL_FORECAST,6521574.0000,-3854120.0000,19943464.3333,1,-20516.3333,2000000.0000,0.0000,-2667454.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3097668.8214,base,pale-sun,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
110676303.0000,2026-09-09T00:00:00Z,2026-09-09,3494528.0000,american-resource-utility,82673413.0000,3305343.0000,CONDITIONAL_FORECAST,-416667.0000,-283250.0000,28002890.0000,1,-132694.0000,4198440.0000,0.0000,-3995.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3172649.0000,base,american-resource-utility,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
284891039.4348,2026-09-09T00:00:00Z,2026-09-09,15812265.5285,corporate,250863928.6680,3252169.5226,CONDITIONAL_FORECAST,14065566.3907,-6521574.0000,34027110.7668,1,-3168836.1893,11893098.8667,0.0000,-3624825.7289,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,83333.3333,base,corporate,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
-312837370.3333,2026-09-09T00:00:00Z,2026-09-09,0.0000,eliminations,-312719520.0000,-246600.1547,CONDITIONAL_FORECAST,-9782361.0000,9782361.0000,-117850.3333,1,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-246600.1547,base,eliminations,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
40167514.9773,2026-09-09T00:00:00Z,2026-09-09,38866054.9773,foundry-field,-6579685.0227,416473.3280,CONDITIONAL_FORECAST,0.0000,0.0000,46747200.0000,2,4248526.6720,-12056411.6947,0.0000,50922466.6720,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
