account,account_type,available_at,created_on,fact_state,month,period_role,record_origin,scenario,signed_usd,unit,view_type,year
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-12056411.6947,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,10123078.3667,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_ALLOWANCE,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-3339600.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-97200.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,55980000.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,3339600.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-51315000.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,97200.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PAYROLL,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1933333.3280,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-4665000.0000,foundry-field,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-535000.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,248512.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-38500.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PAYROLL,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,295000.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PPE,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,240000.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
