billings_usd,closing_usd,contract_id,credits_usd,fact_state,month_index,opening_usd,period,recognized_usd,scenario,unit
1380000.0000,1265000.0000,FF-001,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,115000.0000,base,foundry-field
1560000.0000,1430000.0000,FF-002,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,130000.0000,base,foundry-field
1740000.0000,1595000.0000,FF-003,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,145000.0000,base,foundry-field
1920000.0000,1760000.0000,FF-004,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,160000.0000,base,foundry-field
1200000.0000,1100000.0000,FF-005,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,100000.0000,base,foundry-field
1380000.0000,1265000.0000,FF-006,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,115000.0000,base,foundry-field
1560000.0000,1430000.0000,FF-007,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,130000.0000,base,foundry-field
1740000.0000,1595000.0000,FF-008,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,145000.0000,base,foundry-field
1920000.0000,1760000.0000,FF-009,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,160000.0000,base,foundry-field
1200000.0000,1100000.0000,FF-010,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,100000.0000,base,foundry-field
1380000.0000,1265000.0000,FF-011,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,115000.0000,base,foundry-field
1560000.0000,1430000.0000,FF-012,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,130000.0000,base,foundry-field
1740000.0000,1595000.0000,FF-013,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,145000.0000,base,foundry-field
1920000.0000,1760000.0000,FF-014,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,160000.0000,base,foundry-field
1200000.0000,1100000.0000,FF-015,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,100000.0000,base,foundry-field
1380000.0000,1265000.0000,FF-016,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,115000.0000,base,foundry-field
1560000.0000,1430000.0000,FF-017,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,130000.0000,base,foundry-field
1740000.0000,1595000.0000,FF-018,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,145000.0000,base,foundry-field
1920000.0000,1760000.0000,FF-019,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,160000.0000,base,foundry-field
1200000.0000,1100000.0000,FF-020,0.0000,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,0.0000,2027-01-31,100000.0000,base,foundry-field
