compute_monthly_usd,contract_id,customer_id,deployment_fee_usd,monthly_subscription_usd,origin,payment_due_months,pricing_basis,scenario_status,seats,start_month,term_months,unit
2400,FF-001,SYN-CUSTOMER-001,0,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
3000,FF-002,SYN-CUSTOMER-002,0,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
3600,FF-003,SYN-CUSTOMER-003,0,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
1800,FF-004,SYN-CUSTOMER-004,0,160000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
2400,FF-005,SYN-CUSTOMER-005,0,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
3000,FF-006,SYN-CUSTOMER-006,0,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
3600,FF-007,SYN-CUSTOMER-007,0,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
1800,FF-008,SYN-CUSTOMER-008,0,145000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
2400,FF-009,SYN-CUSTOMER-009,0,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
3000,FF-010,SYN-CUSTOMER-010,0,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
3600,FF-011,SYN-CUSTOMER-011,0,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
1800,FF-012,SYN-CUSTOMER-012,0,130000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
2400,FF-013,SYN-CUSTOMER-013,0,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
3000,FF-014,SYN-CUSTOMER-014,0,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
3600,FF-015,SYN-CUSTOMER-015,0,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
1800,FF-016,SYN-CUSTOMER-016,0,115000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
2400,FF-017,SYN-CUSTOMER-017,0,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
3000,FF-018,SYN-CUSTOMER-018,0,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
3600,FF-019,SYN-CUSTOMER-019,0,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
1800,FF-020,SYN-CUSTOMER-020,0,100000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
2400,FF-021,SYN-CUSTOMER-021,0,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
3000,FF-022,SYN-CUSTOMER-022,0,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
3600,FF-023,SYN-CUSTOMER-023,0,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
1800,FF-024,SYN-CUSTOMER-024,0,160000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
2400,FF-025,SYN-CUSTOMER-025,0,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
3000,FF-026,SYN-CUSTOMER-026,0,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
3600,FF-027,SYN-CUSTOMER-027,0,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
1800,FF-028,SYN-CUSTOMER-028,0,145000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
2400,FF-029,SYN-CUSTOMER-029,0,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
3000,FF-030,SYN-CUSTOMER-030,0,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
3600,FF-031,SYN-CUSTOMER-031,0,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
1800,FF-032,SYN-CUSTOMER-032,0,130000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,1,12,foundry-field
2400,FF-033,SYN-CUSTOMER-033,0,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,1,12,foundry-field
3000,FF-034,SYN-CUSTOMER-034,0,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,1,12,foundry-field
