allowance_usd,gross_ar_usd,invoice_id,months_past_due,period,rate,risk_grade,scenario,unit
27600.0000,1380000.0000,INV-base-FF-001-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
546000.0000,1560000.0000,INV-base-FF-002-TERM-0,0,2027-01-31,0.35,disputed,base,foundry-field
1740000.0000,1740000.0000,INV-base-FF-003-TERM-0,0,2027-01-31,1,default,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-004-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-005-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-006-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-007-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
34800.0000,1740000.0000,INV-base-FF-008-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-009-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-010-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-011-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-012-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
34800.0000,1740000.0000,INV-base-FF-013-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-014-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-015-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-016-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-017-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
34800.0000,1740000.0000,INV-base-FF-018-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-019-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-020-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-021-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-022-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
34800.0000,1740000.0000,INV-base-FF-023-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-024-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-025-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-026-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-027-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
34800.0000,1740000.0000,INV-base-FF-028-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-029-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-030-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-031-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-032-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
34800.0000,1740000.0000,INV-base-FF-033-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-034-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-035-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-036-TERM-0,0,2027-01-31,0.02,current,base,foundry-field
4800.0000,240000.0000,INV-base-ATL-LIC-001-TERM-0,0,2027-01-31,0.02,current,base,atlas-meridian
4800.0000,240000.0000,INV-base-ATL-LIC-013-TERM-0,0,2027-01-31,0.02,current,base,atlas-meridian
5760.0000,288000.0000,INV-base-base-01-MATTER_ACCEPTANCE-ADV-2027-01,0,2027-01-31,0.02,current,base,advisory
11040.0000,552000.0000,INV-base-FF-001-TERM-0,0,2027-02-28,0.02,current,base,foundry-field
409500.0000,1170000.0000,INV-base-FF-002-TERM-0,0,2027-02-28,0.35,disputed,base,foundry-field
1305000.0000,1305000.0000,INV-base-FF-003-TERM-0,0,2027-02-28,1,default,base,foundry-field
6000.0000,300000.0000,INV-base-ATL-LIC-002-TERM-0,0,2027-02-28,0.02,current,base,atlas-meridian
6000.0000,300000.0000,INV-base-ATL-LIC-014-TERM-0,0,2027-02-28,0.02,current,base,atlas-meridian
3360.0000,168000.0000,INV-base-base-02-OUTCOME_ACCEPTED-ATL-2027-01-evaluated-workflow,0,2027-02-28,0.02,current,base,atlas-meridian
12000.0000,600000.0000,INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-03,0,2027-02-28,0.02,current,base,advisory
7920.0000,396000.0000,INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-04,0,2027-02-28,0.02,current,base,advisory
1995.2064,99760.3200,INV-base-base-02-DOWNSTREAM_ACCEPTANCE-STREAM17-base-01,0,2027-02-28,0.02,current,base,project-cradle
55200.0000,552000.0000,INV-base-FF-001-TERM-0,1,2027-03-31,0.10,past_due,base,foundry-field
409500.0000,1170000.0000,INV-base-FF-002-TERM-0,1,2027-03-31,0.35,disputed,base,foundry-field
1305000.0000,1305000.0000,INV-base-FF-003-TERM-0,1,2027-03-31,1,default,base,foundry-field
3600.0000,180000.0000,INV-base-ATL-LIC-003-TERM-0,0,2027-03-31,0.02,current,base,atlas-meridian
3600.0000,180000.0000,INV-base-ATL-LIC-015-TERM-0,0,2027-03-31,0.02,current,base,atlas-meridian
3360.0000,168000.0000,INV-base-base-03-OUTCOME_ACCEPTED-ATL-2027-02-evaluated-workflow,0,2027-03-31,0.02,current,base,atlas-meridian
