action,amount_usd,collected_usd,credit_usd,customer_id,due_date,invoice_amount_usd,invoice_id,month_index,period,record_origin,recovered_usd,refunded_usd,remaining_usd,scenario,source_id,unit,writtenoff_credit_usd,writtenoff_usd
RECEIPT,828000.0000,828000.0000,0.0000,SYN-CUSTOMER-001,2027-02-28,1380000.0000,INV-base-FF-001-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,552000.0000,base,base-02-COLLECTION-INV-base-FF-001-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,390000.0000,390000.0000,0.0000,SYN-CUSTOMER-002,2027-02-28,1560000.0000,INV-base-FF-002-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,1170000.0000,base,base-02-COLLECTION-INV-base-FF-002-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,435000.0000,435000.0000,0.0000,SYN-CUSTOMER-003,2027-02-28,1740000.0000,INV-base-FF-003-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,1305000.0000,base,base-02-COLLECTION-INV-base-FF-003-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-004,2027-02-28,1920000.0000,INV-base-FF-004-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-004-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-005,2027-02-28,1200000.0000,INV-base-FF-005-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-005-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-006,2027-02-28,1380000.0000,INV-base-FF-006-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-006-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1560000.0000,1560000.0000,0.0000,SYN-CUSTOMER-007,2027-02-28,1560000.0000,INV-base-FF-007-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-007-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1740000.0000,1740000.0000,0.0000,SYN-CUSTOMER-008,2027-02-28,1740000.0000,INV-base-FF-008-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-008-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-009,2027-02-28,1920000.0000,INV-base-FF-009-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-009-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-010,2027-02-28,1200000.0000,INV-base-FF-010-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-010-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-011,2027-02-28,1380000.0000,INV-base-FF-011-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-011-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1560000.0000,1560000.0000,0.0000,SYN-CUSTOMER-012,2027-02-28,1560000.0000,INV-base-FF-012-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-012-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1740000.0000,1740000.0000,0.0000,SYN-CUSTOMER-013,2027-02-28,1740000.0000,INV-base-FF-013-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-013-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-014,2027-02-28,1920000.0000,INV-base-FF-014-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-014-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-015,2027-02-28,1200000.0000,INV-base-FF-015-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-015-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-016,2027-02-28,1380000.0000,INV-base-FF-016-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-016-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1560000.0000,1560000.0000,0.0000,SYN-CUSTOMER-017,2027-02-28,1560000.0000,INV-base-FF-017-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-017-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1740000.0000,1740000.0000,0.0000,SYN-CUSTOMER-018,2027-02-28,1740000.0000,INV-base-FF-018-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-018-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-019,2027-02-28,1920000.0000,INV-base-FF-019-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-019-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-020,2027-02-28,1200000.0000,INV-base-FF-020-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-020-TERM-0,foundry-field,0.0000,0.0000
