acceptance_principal,account,accumulated_usd,achievement,allowance_usd,amount_usd,annual_recurring_usd,approved_hours,assay_evidence_sha256,attribution,authority,authorized_materials_budget_usd,availability,available_at,baseline_sha256,baseline_source,bedford_batch_id,billing_basis,bypass,certified_savings_usd,committed_fee_usd,committed_recognition_usd,contained_kg,cost_center,cost_usd,custody,customer_id,decision,determination_state,direct_materials_usd,disposition,due_date,engagement_id,event_id,fact_state,fee_fraction,feed_quantity,feed_unit,from_unit,host,hours,hours_required,independent_atlas_fee,independent_reviewer,invoice_id,kind,maintenance_owner,matter_class,matter_principal,measured_cost_usd,measurement_state,month_index,monthly_revenue_usd,operating_authority,originator,payable_id,payable_kg,payout_factor,performance_source,period,practice,professional_plane_included,qualified,question,reason,receiver,recovered_kg,renewal_term,responsible_person,responsible_role,reviewer,sales_value_usd,scenario,seats,settlement_state,site,source_id,stream,target_fee_usd,target_variable_usd,term,transfer_manifest,unit,value_officer,variable_fee_usd
,,,,,1933333.3280,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-PAYROLL_REQUEST-foundry-field,CONDITIONAL_FORECAST,,,,,,,,,,,PAYROLL_REQUEST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,foundry-field,,,,,,foundry-field,,
,,,,,524999.9988,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-PAYROLL_REQUEST-atlas-meridian,CONDITIONAL_FORECAST,,,,,,,,,,,PAYROLL_REQUEST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,atlas-meridian,,,,,,atlas-meridian,,
,,,,,418333.3344,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-PAYROLL_REQUEST-advisory,CONDITIONAL_FORECAST,,,,,,,,,,,PAYROLL_REQUEST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,advisory,,,,,,advisory,,
,,,,,295000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-PAYROLL_REQUEST-willow,CONDITIONAL_FORECAST,,,,,,,,,,,PAYROLL_REQUEST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,willow,,,,,,willow,,
,,,,,187500.0006,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-PAYROLL_REQUEST-project-cradle,CONDITIONAL_FORECAST,,,,,,,,,,,PAYROLL_REQUEST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,project-cradle,,,,,,project-cradle,,
,,,,,2834999.9956,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-PAYROLL_REQUEST-corporate,CONDITIONAL_FORECAST,,,,,,,,,,,PAYROLL_REQUEST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,corporate,,,,,,corporate,,
,BIZ_SUPPORT,,,,113000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-ESS-FACILITY-VENDORS,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,ESS-FACILITY-VENDORS,,,,,,corporate,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-001,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-001,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-001,,,,,,foundry-field,,
,,,,,1380000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-001,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-001-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-001-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-001-TERM-0,,,,,,foundry-field,,
,,,,,,1380000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-001,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-001,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,115000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,100,,,FF-001,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,2400.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-001,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-001,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-002,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-002,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-002,,,,,,foundry-field,,
,,,,,1560000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-002,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-002-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-002-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-002-TERM-0,,,,,,foundry-field,,
,,,,,,1560000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-002,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-002,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,130000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,120,,,FF-002,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-002,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-002,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-003,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-003,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-003,,,,,,foundry-field,,
,,,,,1740000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-003,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-003-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-003-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-003-TERM-0,,,,,,foundry-field,,
,,,,,,1740000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-003,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-003,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,145000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,140,,,FF-003,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3600.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-003,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-003,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-004,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-004,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-004,,,,,,foundry-field,,
