annual_revenue_usd,as_of_cutoff,available_at,concentration_pct,credit_rating,customer_id,days_sales_outstanding,effective_period_end,fact_state,fictional,legal_name,period_role,rationale,record_origin,renewal_risk,reporting_unit
4620000,2026-09-05,2026-09-05,11.0,CURRENT_STANDARD_TERMS,ARU-C-001,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Red Desert Alkali Products LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
3750000,2026-09-05,2026-09-05,8.928571,CURRENT_STANDARD_TERMS,ARU-C-002,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Basin Well Services Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,True,american-resource-utility
3300000,2026-09-05,2026-09-05,7.857143,CURRENT_STANDARD_TERMS,ARU-C-003,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Frontier Industrial Chemicals LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
2700000,2026-09-05,2026-09-05,6.428571,CURRENT_STANDARD_TERMS,ARU-C-004,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,High Divide Construction Supply Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
2430000,2026-09-05,2026-09-05,5.785714,CURRENT_STANDARD_TERMS,ARU-C-005,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Prairie Equipment Reserve LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1406250,2026-09-05,2026-09-05,3.348214,CURRENT_STANDARD_TERMS,ARU-C-006,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Sage Basin Minerals LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1100000,2026-09-05,2026-09-05,2.619048,CURRENT_STANDARD_TERMS,ARU-C-007,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Wyoming Field Pipe LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
637500,2026-09-05,2026-09-05,1.517857,CURRENT_STANDARD_TERMS,ARU-C-008,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Continental Aggregate Supply LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
783750,2026-09-05,2026-09-05,1.866071,CURRENT_STANDARD_TERMS,ARU-C-009,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,High Plains Fabricated Metals Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
730000,2026-09-05,2026-09-05,1.738095,CURRENT_STANDARD_TERMS,ARU-C-010,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Divide County Agricultural Supply Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
395000,2026-09-05,2026-09-05,0.940476,CURRENT_STANDARD_TERMS,ARU-C-011,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Basin Ranch Cooperative,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1202750,2026-09-05,2026-09-05,2.86369,CURRENT_STANDARD_TERMS,ARU-C-012,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Western Module Constructors LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
764750,2026-09-05,2026-09-05,1.820833,CURRENT_STANDARD_TERMS,ARU-C-013,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Summit Project Materials Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1800000,2026-09-05,2026-09-05,4.285714,CURRENT_STANDARD_TERMS,ARU-C-014,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Taylor Process Materials LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1775000,2026-09-05,2026-09-05,4.22619,CURRENT_STANDARD_TERMS,ARU-C-015,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Rawlins Industrial Custody LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1720000,2026-09-05,2026-09-05,4.095238,CURRENT_STANDARD_TERMS,ARU-C-016,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Continental Bulk Reagents Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1650000,2026-09-05,2026-09-05,3.928571,CURRENT_STANDARD_TERMS,ARU-C-017,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Basin Equipment Assembly LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1600000,2026-09-05,2026-09-05,3.809524,CURRENT_STANDARD_TERMS,ARU-C-018,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Frontier Packaging Minerals LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1625000,2026-09-05,2026-09-05,3.869048,CURRENT_STANDARD_TERMS,ARU-C-019,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Divide Heavy Haul Customers LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1560000,2026-09-05,2026-09-05,3.714286,CURRENT_STANDARD_TERMS,ARU-C-020,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Sage Fleet Services Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1480000,2026-09-05,2026-09-05,3.52381,CURRENT_STANDARD_TERMS,ARU-C-021,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Great Divide Machine Works LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1400000,2026-09-05,2026-09-05,3.333333,CURRENT_STANDARD_TERMS,ARU-C-022,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Intermountain Site Supply Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1290000,2026-09-05,2026-09-05,3.071429,CURRENT_STANDARD_TERMS,ARU-C-023,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,High Basin Parts Reserve LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1200000,2026-09-05,2026-09-05,2.857143,CURRENT_STANDARD_TERMS,ARU-C-024,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Western Equipment Custodians Inc.,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
1080000,2026-09-05,2026-09-05,2.571429,CURRENT_OPERATING_ACCOUNT_WITH_SEPARATE_FULLY_RESERVED_LEGACY_DISPUTE,ARU-C-025,45,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,True,Prairie Maintenance Stores LLC,SYNTHETIC_HISTORICAL_CASE,Derived diversified synthetic contract counterparty; no real party is represented.,PUBLIC_SYNTHETIC_DIEGETIC,False,american-resource-utility
