scenario,entity,year,month,journal_id,event_id,source_id,fact_state,record_origin,available_at,invoice_id,counterparty,amount_usd,invoice_date,revenue_account,source_contract_or_service,evidence_role
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000002,EV-base-base-ARU_GROUP-2027-000002,SALE-base-202701-BST-2025-001,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000002-1,ARU-C-001,246974,2027-01-31,4000,SALE-base-202701-BST-2025-001,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000003,EV-base-base-ARU_GROUP-2027-000003,SALE-base-202701-BST-2025-006,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000003-1,ARU-C-006,106674,2027-01-31,4000,SALE-base-202701-BST-2025-006,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000004,EV-base-base-ARU_GROUP-2027-000004,SALE-base-202701-BST-2025-002,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000004-1,ARU-C-002,185420,2027-01-31,4000,SALE-base-202701-BST-2025-002,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000005,EV-base-base-ARU_GROUP-2027-000005,SALE-base-202701-BST-2025-007,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000005-1,ARU-C-007,83534,2027-01-31,4000,SALE-base-202701-BST-2025-007,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000006,EV-base-base-ARU_GROUP-2027-000006,SALE-base-202701-BST-2025-004,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000006-1,ARU-C-004,96011,2027-01-31,4000,SALE-base-202701-BST-2025-004,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000007,EV-base-base-ARU_GROUP-2027-000007,SALE-base-202701-BST-2025-008,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000007-1,ARU-C-008,49111,2027-01-31,4000,SALE-base-202701-BST-2025-008,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000008,EV-base-base-ARU_GROUP-2027-000008,SALE-base-202701-BST-2025-003,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000008-1,ARU-C-003,113434,2027-01-31,4000,SALE-base-202701-BST-2025-003,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000009,EV-base-base-ARU_GROUP-2027-000009,SALE-base-202701-BST-2025-009,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000009-1,ARU-C-009,60837,2027-01-31,4000,SALE-base-202701-BST-2025-009,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000010,EV-base-base-ARU_GROUP-2027-000010,SALE-base-202701-BST-2025-010,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000010-1,ARU-C-010,55395,2027-01-31,4000,SALE-base-202701-BST-2025-010,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000011,EV-base-base-ARU_GROUP-2027-000011,SALE-base-202701-BST-2025-011,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000011-1,ARU-C-011,31043,2027-01-31,4000,SALE-base-202701-BST-2025-011,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000012,EV-base-base-ARU_GROUP-2027-000012,SALE-base-202701-BST-2025-012,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000012-1,ARU-C-012,92252,2027-01-31,4000,SALE-base-202701-BST-2025-012,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000013,EV-base-base-ARU_GROUP-2027-000013,SALE-base-202701-BST-2025-013,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000013-1,ARU-C-013,58413,2027-01-31,4000,SALE-base-202701-BST-2025-013,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000014,EV-base-base-ARU_GROUP-2027-000014,SALE-base-202701-TRM-2025-001,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000014-1,ARU-C-001,99419,2027-01-31,4000,SALE-base-202701-TRM-2025-001,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000015,EV-base-base-ARU_GROUP-2027-000015,SALE-base-202701-TRM-2025-002,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000015-1,ARU-C-002,96674,2027-01-31,4000,SALE-base-202701-TRM-2025-002,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000016,EV-base-base-ARU_GROUP-2027-000016,SALE-base-202701-TRM-2025-003,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000016-1,ARU-C-003,133263,2027-01-31,4000,SALE-base-202701-TRM-2025-003,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000017,EV-base-base-ARU_GROUP-2027-000017,SALE-base-202701-TRM-2025-014,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000017-1,ARU-C-014,133051,2027-01-31,4000,SALE-base-202701-TRM-2025-014,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000018,EV-base-base-ARU_GROUP-2027-000018,SALE-base-202701-TRM-2025-015,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,SALE-base-base-ARU_GROUP-2027-000018-1,ARU-C-015,131204,2027-01-31,4000,SALE-base-202701-TRM-2025-015,RECONSTRUCTED_SALES_INVOICE_FROM_FORECAST_RECOGNITION
