amount_usd,collected_usd,collection_month,credit_profile,credit_state,credit_usd,customer_id,due_date,due_month,host_settled_usd,host_share,invoice_id,issue_month,recovered_usd,refunded_usd,remaining_usd,scenario,source_id,unit,writtenoff_credit_usd,writtenoff_usd
1380000.0000,1380000.0000,2,PARTIAL-001,RESOLVED,23000.0000,SYN-CUSTOMER-001,2027-02-28,2,0.0000,0,INV-base-FF-001-TERM-0,1,0.0000,23000.0000,0.0000,base,FF-001-TERM-0,foundry-field,0.0000,0.0000
1560000.0000,1560000.0000,2,DISPUTE-002,RESOLVED,0.0000,SYN-CUSTOMER-002,2027-02-28,2,0.0000,0,INV-base-FF-002-TERM-0,1,0.0000,0.0000,0.0000,base,FF-002-TERM-0,foundry-field,0.0000,0.0000
1740000.0000,609000.0000,2,DEFAULT-003,DEFAULT,159500.0000,SYN-CUSTOMER-003,2027-02-28,2,0.0000,0,INV-base-FF-003-TERM-0,1,174000.0000,0.0000,0.0000,base,FF-003-TERM-0,foundry-field,159500.0000,1305000.0000
1920000.0000,1920000.0000,2,CONTRACTUAL,CURRENT,640000.0000,SYN-CUSTOMER-004,2027-02-28,2,0.0000,0,INV-base-FF-004-TERM-0,1,0.0000,640000.0000,0.0000,base,FF-004-TERM-0,foundry-field,0.0000,0.0000
1200000.0000,1200000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-005,2027-02-28,2,0.0000,0,INV-base-FF-005-TERM-0,1,0.0000,0.0000,0.0000,base,FF-005-TERM-0,foundry-field,0.0000,0.0000
1380000.0000,1380000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-006,2027-02-28,2,0.0000,0,INV-base-FF-006-TERM-0,1,0.0000,0.0000,0.0000,base,FF-006-TERM-0,foundry-field,0.0000,0.0000
1560000.0000,1560000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-007,2027-02-28,2,0.0000,0,INV-base-FF-007-TERM-0,1,0.0000,0.0000,0.0000,base,FF-007-TERM-0,foundry-field,0.0000,0.0000
1740000.0000,1740000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-008,2027-02-28,2,0.0000,0,INV-base-FF-008-TERM-0,1,0.0000,0.0000,0.0000,base,FF-008-TERM-0,foundry-field,0.0000,0.0000
1920000.0000,1920000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-009,2027-02-28,2,0.0000,0,INV-base-FF-009-TERM-0,1,0.0000,0.0000,0.0000,base,FF-009-TERM-0,foundry-field,0.0000,0.0000
1200000.0000,1200000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-010,2027-02-28,2,0.0000,0,INV-base-FF-010-TERM-0,1,0.0000,0.0000,0.0000,base,FF-010-TERM-0,foundry-field,0.0000,0.0000
1380000.0000,1380000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-011,2027-02-28,2,0.0000,0,INV-base-FF-011-TERM-0,1,0.0000,0.0000,0.0000,base,FF-011-TERM-0,foundry-field,0.0000,0.0000
1560000.0000,1560000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-012,2027-02-28,2,0.0000,0,INV-base-FF-012-TERM-0,1,0.0000,0.0000,0.0000,base,FF-012-TERM-0,foundry-field,0.0000,0.0000
1740000.0000,1740000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-013,2027-02-28,2,0.0000,0,INV-base-FF-013-TERM-0,1,0.0000,0.0000,0.0000,base,FF-013-TERM-0,foundry-field,0.0000,0.0000
1920000.0000,1920000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-014,2027-02-28,2,0.0000,0,INV-base-FF-014-TERM-0,1,0.0000,0.0000,0.0000,base,FF-014-TERM-0,foundry-field,0.0000,0.0000
1200000.0000,1200000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-015,2027-02-28,2,0.0000,0,INV-base-FF-015-TERM-0,1,0.0000,0.0000,0.0000,base,FF-015-TERM-0,foundry-field,0.0000,0.0000
1380000.0000,1380000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-016,2027-02-28,2,0.0000,0,INV-base-FF-016-TERM-0,1,0.0000,0.0000,0.0000,base,FF-016-TERM-0,foundry-field,0.0000,0.0000
1560000.0000,1560000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-017,2027-02-28,2,0.0000,0,INV-base-FF-017-TERM-0,1,0.0000,0.0000,0.0000,base,FF-017-TERM-0,foundry-field,0.0000,0.0000
1740000.0000,1740000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-018,2027-02-28,2,0.0000,0,INV-base-FF-018-TERM-0,1,0.0000,0.0000,0.0000,base,FF-018-TERM-0,foundry-field,0.0000,0.0000
1920000.0000,1920000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-019,2027-02-28,2,0.0000,0,INV-base-FF-019-TERM-0,1,0.0000,0.0000,0.0000,base,FF-019-TERM-0,foundry-field,0.0000,0.0000
1200000.0000,1200000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-020,2027-02-28,2,0.0000,0,INV-base-FF-020-TERM-0,1,0.0000,0.0000,0.0000,base,FF-020-TERM-0,foundry-field,0.0000,0.0000
1380000.0000,1380000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-021,2027-02-28,2,0.0000,0,INV-base-FF-021-TERM-0,1,0.0000,0.0000,0.0000,base,FF-021-TERM-0,foundry-field,0.0000,0.0000
1560000.0000,1560000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-022,2027-02-28,2,0.0000,0,INV-base-FF-022-TERM-0,1,0.0000,0.0000,0.0000,base,FF-022-TERM-0,foundry-field,0.0000,0.0000
1740000.0000,1740000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-023,2027-02-28,2,0.0000,0,INV-base-FF-023-TERM-0,1,0.0000,0.0000,0.0000,base,FF-023-TERM-0,foundry-field,0.0000,0.0000
1920000.0000,1920000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-024,2027-02-28,2,0.0000,0,INV-base-FF-024-TERM-0,1,0.0000,0.0000,0.0000,base,FF-024-TERM-0,foundry-field,0.0000,0.0000
1200000.0000,1200000.0000,2,CONTRACTUAL,CURRENT,0.0000,SYN-CUSTOMER-025,2027-02-28,2,0.0000,0,INV-base-FF-025-TERM-0,1,0.0000,0.0000,0.0000,base,FF-025-TERM-0,foundry-field,0.0000,0.0000
