customer_id,due_date,invoice_id,months_past_due,outstanding_usd,period,scenario,unit
SYN-CUSTOMER-001,2027-02-28,INV-base-FF-001-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-002,2027-02-28,INV-base-FF-002-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-003,2027-02-28,INV-base-FF-003-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-004,2027-02-28,INV-base-FF-004-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-005,2027-02-28,INV-base-FF-005-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-006,2027-02-28,INV-base-FF-006-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-007,2027-02-28,INV-base-FF-007-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-008,2027-02-28,INV-base-FF-008-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-009,2027-02-28,INV-base-FF-009-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-010,2027-02-28,INV-base-FF-010-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-011,2027-02-28,INV-base-FF-011-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-012,2027-02-28,INV-base-FF-012-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-013,2027-02-28,INV-base-FF-013-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-014,2027-02-28,INV-base-FF-014-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-015,2027-02-28,INV-base-FF-015-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-016,2027-02-28,INV-base-FF-016-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-017,2027-02-28,INV-base-FF-017-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
