accumulated_depreciation_usd,allowance_usd,deferred_revenue_usd,gross_ar_usd,gross_ppe_usd,host_payable_usd,inventory_usd,period,scenario,unit,vendor_ap_usd
0.0000,3339600.0000,51315000.0000,55980000.0000,0.0000,0.0000,0.0000,2027-01-31,base,foundry-field,97200.0000
0.0000,9600.0000,440000.0000,480000.0000,0.0000,0.0000,0.0000,2027-01-31,base,atlas-meridian,2800.0000
0.0000,5760.0000,288000.0000,288000.0000,0.0000,0.0000,0.0000,2027-01-31,base,advisory,0.0000
0.0000,0.0000,0.0000,0.0000,240000.0000,0.0000,0.0000,2027-01-31,base,willow,38500.0000
0.0000,0.0000,0.0000,0.0000,320000.0000,0.0000,39830.0001,2027-01-31,base,project-cradle,27080.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-01-31,base,corporate,113000.0000
0.0000,1725540.0000,46650000.0000,3027000.0000,0.0000,0.0000,0.0000,2027-02-28,base,foundry-field,97200.0000
0.0000,15360.0000,950000.0000,768000.0000,0.0000,0.0000,0.0000,2027-02-28,base,atlas-meridian,14550.0000
0.0000,19920.0000,1226400.0000,996000.0000,0.0000,0.0000,0.0000,2027-02-28,base,advisory,2100.0000
4000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-02-28,base,willow,38500.0000
5333.3333,1995.2064,0.0000,99760.3200,970000.0000,19952.0640,39830.0001,2027-02-28,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-02-28,base,corporate,113000.0000
0.0000,1769700.0000,41985000.0000,3027000.0000,0.0000,0.0000,0.0000,2027-03-31,base,foundry-field,97200.0000
0.0000,10560.0000,1190000.0000,528000.0000,0.0000,0.0000,0.0000,2027-03-31,base,atlas-meridian,18150.0000
0.0000,16320.0000,1540800.0000,816000.0000,0.0000,0.0000,0.0000,2027-03-31,base,advisory,18690.0000
11000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-03-31,base,willow,38500.0000
18404.7618,2006.2944,0.0000,100314.7200,970000.0000,39904.1280,39830.0001,2027-03-31,base,project-cradle,17184.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-03-31,base,corporate,113000.0000
0.0000,1714500.0000,37320000.0000,2475000.0000,0.0000,0.0000,0.0000,2027-04-30,base,foundry-field,97200.0000
0.0000,13200.0000,1290000.0000,660000.0000,0.0000,0.0000,0.0000,2027-04-30,base,atlas-meridian,27900.0000
0.0000,19920.0000,1992000.0000,996000.0000,0.0000,0.0000,0.0000,2027-04-30,base,advisory,6720.0000
18000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-04-30,base,willow,38500.0000
31476.1903,2006.2944,0.0000,100314.7200,970000.0000,39904.1280,39830.0001,2027-04-30,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-04-30,base,corporate,113000.0000
0.0000,1305000.0000,32655000.0000,1305000.0000,0.0000,0.0000,0.0000,2027-05-31,base,foundry-field,97200.0000
0.0000,9360.0000,1425000.0000,468000.0000,0.0000,0.0000,0.0000,2027-05-31,base,atlas-meridian,30582.5000
0.0000,16080.0000,2618400.0000,804000.0000,0.0000,0.0000,0.0000,2027-05-31,base,advisory,6300.0000
25000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-05-31,base,willow,38500.0000
