accumulated_usd,asset_id,cost_usd,net_book_usd,original_site,period,scenario,unit
0.0000,FORT-TEST-RIG,240000.0000,240000.0000,WIL-FORT-PGH,2027-01-31,base,willow
0.0000,STREAM17-MODULE,320000.0000,320000.0000,CRD-KGM17,2027-01-31,base,project-cradle
4000.0000,FORT-TEST-RIG,240000.0000,236000.0000,WIL-FORT-PGH,2027-02-28,base,willow
0.0000,FORT-ANALYTICAL,180000.0000,180000.0000,WIL-FORT-PGH,2027-02-28,base,willow
0.0000,BEDFORD-MODULE,650000.0000,650000.0000,CRD-BEDFORD,2027-02-28,base,project-cradle
5333.3333,STREAM17-MODULE,320000.0000,314666.6667,CRD-KGM17,2027-02-28,base,project-cradle
8000.0000,FORT-TEST-RIG,240000.0000,232000.0000,WIL-FORT-PGH,2027-03-31,base,willow
3000.0000,FORT-ANALYTICAL,180000.0000,177000.0000,WIL-FORT-PGH,2027-03-31,base,willow
7738.0952,BEDFORD-MODULE,650000.0000,642261.9048,CRD-BEDFORD,2027-03-31,base,project-cradle
10666.6666,STREAM17-MODULE,320000.0000,309333.3334,CRD-KGM17,2027-03-31,base,project-cradle
12000.0000,FORT-TEST-RIG,240000.0000,228000.0000,WIL-FORT-PGH,2027-04-30,base,willow
6000.0000,FORT-ANALYTICAL,180000.0000,174000.0000,WIL-FORT-PGH,2027-04-30,base,willow
15476.1904,BEDFORD-MODULE,650000.0000,634523.8096,CRD-BEDFORD,2027-04-30,base,project-cradle
15999.9999,STREAM17-MODULE,320000.0000,304000.0001,CRD-KGM17,2027-04-30,base,project-cradle
16000.0000,FORT-TEST-RIG,240000.0000,224000.0000,WIL-FORT-PGH,2027-05-31,base,willow
9000.0000,FORT-ANALYTICAL,180000.0000,171000.0000,WIL-FORT-PGH,2027-05-31,base,willow
23214.2856,BEDFORD-MODULE,650000.0000,626785.7144,CRD-BEDFORD,2027-05-31,base,project-cradle
21333.3332,STREAM17-MODULE,320000.0000,298666.6668,CRD-KGM17,2027-05-31,base,project-cradle
0.0000,DEMOTTE-GEN2,210000.0000,210000.0000,CRD-DEMOTTE,2027-05-31,base,project-cradle
20000.0000,FORT-TEST-RIG,240000.0000,220000.0000,WIL-FORT-PGH,2027-06-30,base,willow
12000.0000,FORT-ANALYTICAL,180000.0000,168000.0000,WIL-FORT-PGH,2027-06-30,base,willow
30952.3808,BEDFORD-MODULE,650000.0000,619047.6192,CRD-BEDFORD,2027-06-30,base,project-cradle
