scenario,entity,year,month,asset_id,project_id,ledger_account,asset_status,conditional_service_index,actual_conditional_service_index,conditional_service_period,actual_conditional_service_period,method,gross_usd,opening_net_book_usd,additions_usd,depreciation_usd,accumulated_depreciation_usd,closing_net_book_usd,capitalized_to_inventory_usd,expense_depreciation_usd,project_budget_usd,project_paid_to_date_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,ARU_GROUP,2027,1,ARU-LAND,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,LAND,8000000,8000000,0,0,0,8000000,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,ARU-TRACK,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,15000000,14508219,0,41667,533448,14466552,0,41667,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,ARU-TERMINAL,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,12000000,11409863,0,50000,640137,11359863,0,50000,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,ARU-MOBILE,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,7000000,6016438,0,83334,1066896,5933104,0,83334,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,ARU-SUSTAIN-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3300000,3148750,0,27500,178750,3121250,0,27500,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,ARU-CATCHUP-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,11000000,10663889,0,61112,397223,10602777,0,61112,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,ARU-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,5250000,5118750,0,21875,153125,5096875,0,21875,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,RWH_PS,2027,1,RW-LEGACY-PRODUCTION,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,UNITS_OF_PRODUCTION,59000000,55500000,0,305753,3805753,55194247,305753,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,RWH_PS,2027,1,RW-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3250000,3168750,0,13542,94792,3155208,0,13542,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,RWH_PS,2027,1,CAPEX-base-RWH_PS-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,PRODUCTION_STRAIGHT_LINE,593333,0,593333,0,0,593333,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,CAPEX-base-ARU_GROUP-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,STRAIGHT_LINE,283250,0,283250,0,0,283250,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,2,ARU-LAND,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,LAND,8000000,8000000,0,0,0,8000000,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,ARU-TRACK,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,15000000,14466552,0,41667,575115,14424885,0,41667,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
