scenario,entity,year,month,opening_legacy_term_usd,opening_replacement_term_usd,opening_lease_usd,scheduled_legacy_principal_usd,scheduled_lease_principal_usd,interest_expense_usd,issuance_cost_amortization_usd,legacy_matured,conditional_refinance_capacity_usd,closing_legacy_term_usd,principal_cash_paid_legacy_term_usd,closing_replacement_term_usd,principal_cash_paid_replacement_term_usd,closing_lease_usd,principal_cash_paid_lease_usd,replacement_debt_draw_usd,closing_issuance_costs_usd,overdue_matured_legacy_term_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,ARU_GROUP,2027,1,21375000,0,2008219,375000,41667,132130,5000,False,18000000,21000000,375000,0,0,1966552,41667,0,235968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,2,21000000,0,1966552,0,41667,117242,5000,False,18000000,21000000,0,0,0,1924885,41667,0,230968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,3,21000000,0,1924885,0,41667,129626,5000,False,18000000,21000000,0,0,0,1883218,41667,0,225968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,4,21000000,0,1883218,375000,41667,125273,5000,False,18000000,20625000,375000,0,0,1841551,41667,0,220968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,5,20625000,0,1841551,0,41667,127123,5000,False,18000000,20625000,0,0,0,1799884,41667,0,215968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,6,20625000,0,1799884,0,41667,122851,5000,False,18000000,20625000,0,0,0,1758217,41667,0,210968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,ARU_GROUP,2027,7,20625000,0,1758217,375000,41667,126769,5000,False,18000000,20250000,375000,0,0,1716550,41667,0,205968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-07-31
base,ARU_GROUP,2027,8,20250000,0,1716550,0,41667,124442,5000,False,18000000,20250000,0,0,0,1674883,41667,0,200968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-08-31
base,ARU_GROUP,2027,9,20250000,0,1674883,0,41666,120256,5000,False,18000000,20250000,0,0,0,1633217,41666,0,195968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-09-30
base,ARU_GROUP,2027,10,20250000,0,1633217,375000,41666,124088,5000,False,18000000,19875000,375000,0,0,1591551,41666,0,190968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-10-31
base,ARU_GROUP,2027,11,19875000,0,1591551,0,41666,117833,5000,False,18000000,19875000,0,0,0,1549885,41666,0,185968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-11-30
base,ARU_GROUP,2027,12,19875000,0,1549885,0,41666,121584,5000,False,18000000,19875000,0,0,0,1508219,41666,0,180968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-12-31
