scenario,year,month,produced_lb,sold_lb,ending_inventory_lb,production_cash_cost_usd,capitalized_production_cash_usd,idle_production_expense_usd,production_depreciation_usd,cash_cogs_usd,dda_cogs_usd,ending_cash_inventory_usd,ending_dda_inventory_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,2027,1,47819.83561643836,39900,180319.83561643836,2474356,2474356,0,305753,2008014,249925,9074804,1129482,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,2,43192.1095890411,39900,183611.94520547946,2316160,2271531,44629,278506,2025479,251345,9320856,1156643,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,3,47819.83561643836,45600,185831.78082191782,2474356,2474356,0,310699,2324061,289117,9471151,1178225,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,4,46277.260273972606,45600,186509.041095890426,2421624,2421624,0,303306,2336447,291061,9556328,1190470,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,5,47819.83561643836,51300,183028.876712328786,2474356,2474356,0,315641,2633794,329722,9396890,1176389,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,6,46277.260273972606,51300,178006.136986301392,2421624,2421624,0,308250,2644019,332141,9174495,1152498,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,7,47819.83561643836,51300,174525.972602739752,2474356,2474356,0,320585,2646224,334634,9002627,1138449,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-07-31
base,2027,8,47819.83561643836,51300,171045.808219178112,2474356,2474356,0,323057,2647989,337201,8828994,1124305,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-08-31
base,2027,9,46277.260273972606,51300,166023.068493150718,2421624,2421624,0,315666,2655754,339911,8594864,1100060,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-09-30
base,2027,10,47819.83561643836,51300,162542.904109589078,2474356,2474356,0,328001,2655459,342586,8413761,1085475,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-10-31
base,2027,11,46277.260273972606,45600,163220.164383561684,2421624,2421624,0,320610,2366120,307046,8469265,1099039,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-11-30
base,2027,12,47819.83561643836,45600,165440.000000000044,2474356,2474356,0,332945,2364619,309413,8579002,1122571,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-12-31
