scenario,entity,year,month,journal_id,event_id,source_id,fact_state,record_origin,available_at,payroll_batch_id,segment,gross_employer_cost_usd,cash_payment_usd,evidence_role,employee_source,unpaid_at_forecast_end_usd,planned_segment_fte
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000031,EV-base-base-ARU_GROUP-2027-000031,PAYROLL-base-202701-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000031,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000038,EV-base-base-ARU_GROUP-2027-000038,PAYROLL-base-202701-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000038,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000045,EV-base-base-ARU_GROUP-2027-000045,PAYROLL-base-202701-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000045,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000052,EV-base-base-ARU_GROUP-2027-000052,PAYROLL-base-202701-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000052,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,1,base-ARU_GROUP-2027-000059,EV-base-base-ARU_GROUP-2027-000059,PAYROLL-base-202701-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000059,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,2,base-ARU_GROUP-2027-000183,EV-base-base-ARU_GROUP-2027-000183,PAYROLL-base-202702-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000183,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,2,base-ARU_GROUP-2027-000190,EV-base-base-ARU_GROUP-2027-000190,PAYROLL-base-202702-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000190,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,2,base-ARU_GROUP-2027-000197,EV-base-base-ARU_GROUP-2027-000197,PAYROLL-base-202702-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000197,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,2,base-ARU_GROUP-2027-000204,EV-base-base-ARU_GROUP-2027-000204,PAYROLL-base-202702-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000204,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,2,base-ARU_GROUP-2027-000211,EV-base-base-ARU_GROUP-2027-000211,PAYROLL-base-202702-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000211,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,3,base-ARU_GROUP-2027-000402,EV-base-base-ARU_GROUP-2027-000402,PAYROLL-base-202703-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000402,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,3,base-ARU_GROUP-2027-000409,EV-base-base-ARU_GROUP-2027-000409,PAYROLL-base-202703-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000409,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,3,base-ARU_GROUP-2027-000416,EV-base-base-ARU_GROUP-2027-000416,PAYROLL-base-202703-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000416,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,3,base-ARU_GROUP-2027-000423,EV-base-base-ARU_GROUP-2027-000423,PAYROLL-base-202703-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000423,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,3,base-ARU_GROUP-2027-000430,EV-base-base-ARU_GROUP-2027-000430,PAYROLL-base-202703-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000430,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,4,base-ARU_GROUP-2027-000651,EV-base-base-ARU_GROUP-2027-000651,PAYROLL-base-202704-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000651,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,4,base-ARU_GROUP-2027-000658,EV-base-base-ARU_GROUP-2027-000658,PAYROLL-base-202704-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000658,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,4,base-ARU_GROUP-2027-000665,EV-base-base-ARU_GROUP-2027-000665,PAYROLL-base-202704-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000665,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,4,base-ARU_GROUP-2027-000672,EV-base-base-ARU_GROUP-2027-000672,PAYROLL-base-202704-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000672,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,4,base-ARU_GROUP-2027-000679,EV-base-base-ARU_GROUP-2027-000679,PAYROLL-base-202704-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000679,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,5,base-ARU_GROUP-2027-000902,EV-base-base-ARU_GROUP-2027-000902,PAYROLL-base-202705-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000902,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
