scenario,entity,year,month,source_id,journal_id,payroll_batch_id,segment,payroll_detail_id,census_employee_id,planned_position_pool_id,census_role,census_fte,modeled_role_capacity_fte,employer_cost_usd,allocated_settlement_usd,evidence_role,fact_state,record_origin,available_at
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-007,EMP-007,,General Manager,1,1,21837,21837,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-008,EMP-008,,Operations and Dispatch Manager,1,1,14366,14366,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-009,EMP-009,,Working MOW Foreman,1,1,11493,11493,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-010,EMP-010,,Mechanical Foreman,1,1,12642,12642,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-011,EMP-011,,Safety and Compliance Manager,1,1,12067,12067,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-019,EMP-019,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-020,EMP-020,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-021,EMP-021,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-022,EMP-022,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-023,EMP-023,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-024,EMP-024,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-025,EMP-025,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-026,EMP-026,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-027,EMP-027,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
base,ARU_GROUP,2027,1,PAYROLL-base-202701-BST,base-ARU_GROUP-2027-000031,WAGE-base-base-ARU_GROUP-2027-000031,BST,WAGE-base-base-ARU_GROUP-2027-000031-EMP-028,EMP-028,,Train Engine employee,1,1,8390,8390,MODELED_CENSUS_ROLE_ALLOCATION_NOT_INDIVIDUAL_PAYSLIP,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00
