closing_cost_usd,period,scenario,unit,unsold_kg,unsold_lots
39830.0001,2027-01-31,base,project-cradle,2676.3000,2
39830.0001,2027-02-28,base,project-cradle,2699.4000,3
39830.0001,2027-03-31,base,project-cradle,2676.3000,2
39830.0001,2027-04-30,base,project-cradle,2676.3000,2
39830.0001,2027-05-31,base,project-cradle,2730.4200,3
39830.0001,2027-06-30,base,project-cradle,2761.4400,3
39830.0001,2027-07-31,base,project-cradle,2761.4400,3
0.0000,2027-08-31,base,project-cradle,108.2400,2
39830.0001,2027-09-30,base,project-cradle,2761.4400,3
41566.1112,2027-10-31,base,project-cradle,2761.4400,3
41566.1112,2027-11-30,base,project-cradle,2761.4400,3
41566.1112,2027-12-31,base,project-cradle,2707.3200,2
