corporate_expense_usd,corporate_net_cost_usd,corporate_revenue_usd,difference_usd,gross_service_pool_usd,period,residual_service_allocation_usd,retained_corporate_cost_usd,retained_j2_mission_usd,retained_other_corporate_usd,scenario,statutory_fee_credit_usd,statutory_fee_revenue_usd,unit
3252169.5226,3168836.1893,83333.3333,0.0000,773000.0016,2027-01-31,689666.6683,2479169.5210,2174999.9940,304169.5270,base,83333.3333,83333.3333,corporate
3251627.8560,3168294.5227,83333.3333,0.0000,773000.0016,2027-02-28,689666.6683,2478627.8544,2174999.9940,303627.8604,base,83333.3333,83333.3333,corporate
3251086.1893,3167752.8560,83333.3333,0.0000,773000.0016,2027-03-31,689666.6683,2478086.1877,2174999.9940,303086.1937,base,83333.3333,83333.3333,corporate
3250544.5226,3167211.1893,83333.3333,0.0000,773000.0016,2027-04-30,689666.6683,2477544.5210,2174999.9940,302544.5270,base,83333.3333,83333.3333,corporate
3250002.8560,3166669.5227,83333.3333,0.0000,773000.0016,2027-05-31,689666.6683,2477002.8544,2174999.9940,302002.8604,base,83333.3333,83333.3333,corporate
3249461.1893,3166127.8560,83333.3333,0.0000,773000.0016,2027-06-30,689666.6683,2476461.1877,2174999.9940,301461.1937,base,83333.3333,83333.3333,corporate
3248919.5226,3165586.1893,83333.3333,0.0000,773000.0016,2027-07-31,689666.6683,2475919.5210,2174999.9940,300919.5270,base,83333.3333,83333.3333,corporate
3248377.8560,3165044.5227,83333.3333,0.0000,773000.0016,2027-08-31,689666.6683,2475377.8544,2174999.9940,300377.8604,base,83333.3333,83333.3333,corporate
3247836.1893,3164502.8560,83333.3333,0.0000,773000.0016,2027-09-30,689666.6683,2474836.1877,2174999.9940,299836.1937,base,83333.3333,83333.3333,corporate
3247294.5226,3163961.1893,83333.3333,0.0000,773000.0016,2027-10-31,689666.6683,2474294.5210,2174999.9940,299294.5270,base,83333.3333,83333.3333,corporate
3246752.8560,3163419.5227,83333.3333,0.0000,773000.0016,2027-11-30,689666.6683,2473752.8544,2174999.9940,298752.8604,base,83333.3333,83333.3333,corporate
3258252.8560,3174919.5227,83333.3333,0.0000,785041.6683,2027-12-31,1701708.3346,1473211.1881,2174999.9940,-701788.8059,base,-916666.6663,-916666.6663,corporate
