allocation_usd,basis,consumption_units,generated_consumption_units,gross_allocation_usd,period,planned_consumption_units,pool_id,posting_state,scenario,statutory_fee_credit_usd,unit
118505.4947,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,192.0000,72.0000,118505.4947,2027-01-31,120.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
42587.9122,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,69.0000,4.0000,42587.9122,2027-01-31,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
15430.4030,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,25.0000,0.0000,15430.4030,2027-01-31,25.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
12344.3224,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,12344.3224,2027-01-31,20.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
9258.2418,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,15.0000,0.0000,9258.2418,2027-01-31,15.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
28673.0024,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,70.0000,0.0000,43205.1283,2027-01-31,70.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,14532.1259,pale-sun
18320.8588,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,40119.0477,2027-01-31,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,21798.1889,american-resource-utility
55549.4505,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,90.0000,0.0000,55549.4505,2027-01-31,90.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
32702.2902,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,102.0000,72.0000,32702.2902,2027-01-31,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
7694.6565,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,24.0000,4.0000,7694.6565,2027-01-31,20.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
9938.9313,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,31.0000,1.0000,9938.9313,2027-01-31,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
9297.7100,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,29.0000,4.0000,9297.7100,2027-01-31,25.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
10259.5420,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,32.0000,2.0000,10259.5420,2027-01-31,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
31228.7807,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,120.0000,0.0000,38473.2826,2027-01-31,120.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
34018.7434,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,44885.4963,2027-01-31,140.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
14748.0916,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,46.0000,1.0000,14748.0916,2027-01-31,45.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
34594.5947,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,160.0000,160.0000,34594.5947,2027-01-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
7783.7838,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,36.0000,36.0000,7783.7838,2027-01-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
7005.4054,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,32.4000,32.4000,7005.4054,2027-01-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
5102.7027,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,23.6000,23.6000,5102.7027,2027-01-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
3891.8919,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,18.0000,18.0000,3891.8919,2027-01-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
23025.7685,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,30270.2704,2027-01-31,140.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
17457.5715,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,131.0000,0.0000,28324.3244,2027-01-31,131.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
51027.0272,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,236.0000,236.0000,51027.0272,2027-01-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
6153.8462,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,6153.8462,2027-01-31,20.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
6153.8462,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,6153.8462,2027-01-31,20.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
10153.8462,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,33.0000,3.0000,10153.8462,2027-01-31,30.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
10769.2308,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,35.0000,0.0000,10769.2308,2027-01-31,35.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
12923.0769,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,42.0000,2.0000,12923.0769,2027-01-31,40.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
15687.7964,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,20000.0000,2027-01-31,65.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,4312.2036,pale-sun
