authorized,capacity_hours,expected_loaded_cost_usd,fact_state,home_group,leave_state,month_index,occupied,period,person_id,position_id,ramp_fraction,scenario,unit
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-001,SYN-FOUNDRY-FIELD-001,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-002,SYN-FOUNDRY-FIELD-002,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-003,SYN-FOUNDRY-FIELD-003,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-004,SYN-FOUNDRY-FIELD-004,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-005,SYN-FOUNDRY-FIELD-005,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-006,SYN-FOUNDRY-FIELD-006,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-007,SYN-FOUNDRY-FIELD-007,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-008,SYN-FOUNDRY-FIELD-008,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-009,SYN-FOUNDRY-FIELD-009,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-010,SYN-FOUNDRY-FIELD-010,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-011,SYN-FOUNDRY-FIELD-011,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-012,SYN-FOUNDRY-FIELD-012,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-013,SYN-FOUNDRY-FIELD-013,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-014,SYN-FOUNDRY-FIELD-014,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-015,SYN-FOUNDRY-FIELD-015,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-016,SYN-FOUNDRY-FIELD-016,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-017,SYN-FOUNDRY-FIELD-017,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-018,SYN-FOUNDRY-FIELD-018,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-019,SYN-FOUNDRY-FIELD-019,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-020,SYN-FOUNDRY-FIELD-020,1.0000,base,foundry-field
