measure,amount_usd
net_book_equity_after_excess_cash_distribution_usd,13350000
book_ppe_net_usd,22700000
fair_ppe_usd,42000000
fair_ppe_step_up_usd,19300000
identifiable_net_assets_before_refinancing_usd,33237500
stock_consideration_usd,48000000
goodwill_usd,14762500
tax_goodwill_basis_usd,13000000
initial_book_goodwill_excess_over_tax_usd,1762500
close_sources_before_fees_usd,61500000
close_uses_before_fees_usd,61500000
deferred_tax_asset_usd,587500
deferred_tax_basis_usd,2350000
new_debt_upstream_acquisition_distribution_usd,9000000
parent_cash_before_fees_usd,39000000
parent_cash_including_fees_usd,40200000
working_capital_usd,4500000
working_capital_true_up_usd,0
