month,sustaining_additions_usd,catchup_additions_usd,phase1_additions_usd,legacy_depreciation_usd,new_program_depreciation_usd,ppe_gross_usd,ppe_accumulated_depreciation_usd
1,275000,0,0,178083,0,42275000,143836
2,275000,1100000,1050000,199452,2292,44700000,307224
3,275000,1100000,1050000,220822,10694,47125000,496274
4,275000,1100000,1050000,213699,19097,49550000,687974
5,275000,1100000,1050000,220822,27500,51975000,893830
6,275000,1100000,1050000,213699,35903,54400000,1102336
7,275000,1100000,0,220822,66181,55775000,1346873
8,275000,1100000,0,220822,74583,57150000,1599812
9,275000,1100000,0,213699,82986,58525000,1855401
10,275000,1100000,0,220822,91389,59900000,2125146
11,275000,1100000,0,213699,99792,61275000,2397541
12,275000,0,0,220822,108194,61550000,2684091
