month,opening_term_usd,term_principal_usd,term_interest_usd,closing_term_usd,lease_principal_usd,lease_interest_usd,closing_lease_usd,debt_issue_amortization_usd,deferred_debt_issue_cost_usd,revolver_draw_usd
1,22500000,0,104024,22500000,34246,8503,2465754,4032,295968,0
2,22500000,0,116507,22500000,38356,9384,2427398,5000,290968,0
3,22500000,0,128990,22500000,42466,10218,2384932,5000,285968,0
4,22500000,375000,123164,22125000,41096,9717,2343836,5000,280968,0
5,22125000,0,126840,22125000,42466,9863,2301370,5000,275968,0
6,22125000,0,122748,22125000,41096,9373,2260274,5000,270968,0
7,22125000,375000,125106,21750000,42466,9508,2217808,5000,265968,0
8,21750000,0,124690,21750000,42466,9328,2175342,5000,260968,0
9,21750000,0,120668,21750000,41096,8855,2134246,5000,255968,0
10,21750000,375000,122956,21375000,42466,8973,2091780,5000,250968,0
11,21375000,0,118587,21375000,41096,8512,2050684,5000,245968,0
12,21375000,0,122540,21375000,42465,8618,2008219,5000,240968,0
