month,book_pretax_income_usd,cumulative_book_pretax_income_usd,cumulative_goodwill_tax_deduction_usd,cumulative_taxable_income_usd,current_tax_expense_usd,deferred_tax_expense_usd,current_tax_cash_paid_usd,current_tax_settlement_signed_balance_usd,deferred_tax_asset_reserves_usd,deferred_tax_asset_interim_loss_usd,deferred_tax_liability_goodwill_usd,goodwill_tax_basis_usd,goodwill_book_basis_usd,initial_goodwill_excess_excluded_from_opening_dtl_usd
1,-139925,-139925,72222,-212147,0,-34981,0,0,587500,53037,18056,12927778,14762500,1762500
2,-134103,-274028,144444,-418472,0,-33526,0,0,587500,104618,36111,12855556,14762500,1762500
3,224350,-49678,216667,-266345,0,56088,0,0,587500,66586,54167,12783333,14762500,1762500
4,231627,181949,288889,-106940,0,57906,0,0,587500,26735,72222,12711111,14762500,1762500
5,627492,809441,361111,448330,112083,44791,0,-112083,587500,0,90278,12638889,14762500,1762500
6,613024,1422465,433333,989132,135200,18055,247283,0,587500,0,108333,12566667,14762500,1762500
7,579659,2002124,505556,1496568,126859,18056,0,-126859,587500,0,126389,12494444,14762500,1762500
8,574969,2577093,577778,1999315,125687,18056,0,-252546,587500,0,144445,12422222,14762500,1762500
9,584672,3161765,650000,2511765,128112,18055,380658,0,587500,0,162500,12350000,14762500,1762500
10,587860,3749625,722222,3027403,128910,18056,0,-128910,587500,0,180556,12277778,14762500,1762500
11,194900,3944525,794444,3150081,30669,18055,0,-159579,587500,0,198611,12205556,14762500,1762500
12,177112,4121637,866667,3254970,26223,18056,185802,0,587500,0,216667,12133333,14762500,1762500
