cash_flow,closing_unpaid_usd,funded_in_period_usd,obligation_id,period,scenario,unit
OPERATING,0.0000,497024.0000,OB-base-ENT-base-0000402-1610,2027-01-31,base,corporate
OPERATING,0.0000,791531.9000,OB-base-ENT-base-0000403-1612,2027-01-31,base,corporate
OPERATING,0.0000,191208.3333,OB-base-ENT-base-0000406-1616,2027-01-31,base,corporate
OPERATING,0.0000,1933333.3280,OB-base-ENT-base-0000408-1620,2027-01-31,base,foundry-field
OPERATING,0.0000,524999.9988,OB-base-ENT-base-0000409-1622,2027-01-31,base,atlas-meridian
OPERATING,0.0000,418333.3344,OB-base-ENT-base-0000410-1624,2027-01-31,base,advisory
OPERATING,0.0000,295000.0000,OB-base-ENT-base-0000411-1626,2027-01-31,base,willow
OPERATING,0.0000,187500.0006,OB-base-ENT-base-0000412-1628,2027-01-31,base,project-cradle
OPERATING,0.0000,2834999.9956,OB-base-ENT-base-0000413-1630,2027-01-31,base,corporate
INVESTING,0.0000,240000.0000,OB-base-ENT-base-0000534-1872,2027-01-31,base,willow
INVESTING,0.0000,320000.0000,OB-base-ENT-base-0000535-1874,2027-01-31,base,project-cradle
FINANCING,0.0000,100000.0000,OB-base-ENT-base-0000407-1618,2027-01-31,base,corporate
OPERATING,0.0000,190666.6667,OB-base-ENT-base-0000572-2004,2027-02-28,base,corporate
OPERATING,0.0000,113000.0000,OB-base-ENT-base-0000613-2086,2027-02-28,base,corporate
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000614-2088,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000615-2090,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000616-2092,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000617-2094,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000618-2096,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000619-2098,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000620-2100,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000621-2102,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000622-2104,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000623-2106,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000624-2108,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000625-2110,2027-02-28,base,foundry-field
