allocation_basis,cash_flow,due_date,entity,funded_usd,invoice_id,journal_id,month,obligation_id,payable_id,period,request_kind,requested_usd,scenario,source_id,unit,unpaid_usd,year
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,497024.0000,,ENT-base-0000402,1,OB-base-ENT-base-0000402-1610,,2027-01-31,OTHER_OPERATING_REQUEST,497024.0000,base,CORE-OPEN-SETTLE-LEG_2000,corporate,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,791531.9000,,ENT-base-0000403,1,OB-base-ENT-base-0000403-1612,,2027-01-31,OTHER_OPERATING_REQUEST,791531.9000,base,CORE-OPEN-SETTLE-LEG_2100,corporate,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,191208.3333,,ENT-base-0000406,1,OB-base-ENT-base-0000406-1616,,2027-01-31,OTHER_OPERATING_REQUEST,191208.3333,base,CORE-INTEREST,corporate,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,1933333.3280,,ENT-base-0000408,1,OB-base-ENT-base-0000408-1620,,2027-01-31,PAYROLL_BATCH,1933333.3280,base,base-01-PAYROLL_REQUEST-foundry-field,foundry-field,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,524999.9988,,ENT-base-0000409,1,OB-base-ENT-base-0000409-1622,,2027-01-31,PAYROLL_BATCH,524999.9988,base,base-01-PAYROLL_REQUEST-atlas-meridian,atlas-meridian,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,418333.3344,,ENT-base-0000410,1,OB-base-ENT-base-0000410-1624,,2027-01-31,PAYROLL_BATCH,418333.3344,base,base-01-PAYROLL_REQUEST-advisory,advisory,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,295000.0000,,ENT-base-0000411,1,OB-base-ENT-base-0000411-1626,,2027-01-31,PAYROLL_BATCH,295000.0000,base,base-01-PAYROLL_REQUEST-willow,willow,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,187500.0006,,ENT-base-0000412,1,OB-base-ENT-base-0000412-1628,,2027-01-31,PAYROLL_BATCH,187500.0006,base,base-01-PAYROLL_REQUEST-project-cradle,project-cradle,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-01-31,SHI,2834999.9956,,ENT-base-0000413,1,OB-base-ENT-base-0000413-1630,,2027-01-31,PAYROLL_BATCH,2834999.9956,base,base-01-PAYROLL_REQUEST-corporate,corporate,0.0000,2027
ILLUSTRATIVE_FIFO_WITHIN_FLOW_NOT_ACTUAL_PAYMENT,OPERATING,2027-02-28,SHI,190666.6667,,ENT-base-0000572,2,OB-base-ENT-base-0000572-2004,,2027-02-28,OTHER_OPERATING_REQUEST,190666.6667,base,CORE-INTEREST,corporate,0.0000,2027
