arrears_paid_usd,cash_flow,closing_unpaid_usd,current_funded_usd,month,new_deferral_usd,opening_unpaid_usd,period,reconciliation_usd,requested_usd,scenario,unit,year
0.0000,OPERATING,0.0000,7673930.8907,1,0.0000,0.0000,2027-01-31,0.0000,7673930.8907,base,corporate,2027
0.0000,INVESTING,0.0000,560000.0000,1,0.0000,0.0000,2027-01-31,0.0000,560000.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,1,0.0000,0.0000,2027-01-31,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6663413.3241,2,0.0000,0.0000,2027-02-28,0.0000,6663413.3241,base,corporate,2027
0.0000,INVESTING,0.0000,830000.0000,2,0.0000,0.0000,2027-02-28,0.0000,830000.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,2,0.0000,0.0000,2027-02-28,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6680701.4574,3,0.0000,0.0000,2027-03-31,0.0000,6680701.4574,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,3,0.0000,0.0000,2027-03-31,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,3,0.0000,0.0000,2027-03-31,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6706426.8547,4,0.0000,0.0000,2027-04-30,0.0000,6706426.8547,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,4,0.0000,0.0000,2027-04-30,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,4,0.0000,0.0000,2027-04-30,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6740540.1881,5,0.0000,0.0000,2027-05-31,0.0000,6740540.1881,base,corporate,2027
0.0000,INVESTING,0.0000,210000.0000,5,0.0000,0.0000,2027-05-31,0.0000,210000.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,5,0.0000,0.0000,2027-05-31,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6722261.0214,6,0.0000,0.0000,2027-06-30,0.0000,6722261.0214,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,6,0.0000,0.0000,2027-06-30,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,6,0.0000,0.0000,2027-06-30,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6745768.1880,7,0.0000,0.0000,2027-07-31,0.0000,6745768.1880,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,7,0.0000,0.0000,2027-07-31,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,7,0.0000,0.0000,2027-07-31,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6754498.5214,8,0.0000,0.0000,2027-08-31,0.0000,6754498.5214,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,8,0.0000,0.0000,2027-08-31,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,8,0.0000,0.0000,2027-08-31,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,7393876.8547,9,0.0000,0.0000,2027-09-30,0.0000,7393876.8547,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,9,0.0000,0.0000,2027-09-30,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,9,0.0000,0.0000,2027-09-30,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6771155.3880,10,0.0000,0.0000,2027-10-31,0.0000,6771155.3880,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,10,0.0000,0.0000,2027-10-31,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,10,0.0000,0.0000,2027-10-31,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6741373.4574,11,0.0000,0.0000,2027-11-30,0.0000,6741373.4574,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,11,0.0000,0.0000,2027-11-30,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,11,0.0000,0.0000,2027-11-30,0.0000,100000.0000,base,corporate,2027
0.0000,OPERATING,0.0000,6749768.5214,12,0.0000,0.0000,2027-12-31,0.0000,6749768.5214,base,corporate,2027
0.0000,INVESTING,0.0000,0.0000,12,0.0000,0.0000,2027-12-31,0.0000,0.0000,base,corporate,2027
0.0000,FINANCING,0.0000,100000.0000,12,0.0000,0.0000,2027-12-31,0.0000,100000.0000,base,corporate,2027
