case,statement_line,amount_usd_m,evidence_class
minimum_survival,revenue,15500,SCENARIO
minimum_survival,gross_profit,5269,SCENARIO
minimum_survival,ebitda,450,SCENARIO
minimum_survival,depreciation_amortization,-700,SCENARIO
minimum_survival,ebit,-250,SCENARIO
minimum_survival,interest_expense,-280,SCENARIO
minimum_survival,income_tax,180,SCENARIO
minimum_survival,net_income,-350,SCENARIO
minimum_survival,operating_cash_flow,750,SCENARIO
minimum_survival,capital_expenditure,-1200,SCENARIO
minimum_survival,free_cash_flow,-450,SCENARIO
minimum_survival,cash,900,SCENARIO
minimum_survival,debt,5200,SCENARIO
minimum_survival,total_assets,17800,SCENARIO
minimum_survival,total_liabilities,9800,SCENARIO
minimum_survival,total_equity,8000,SCENARIO
minimum_survival,net_working_capital,1050,SCENARIO
healthy,revenue,22000,SCENARIO
healthy,gross_profit,9710,SCENARIO
healthy,ebitda,2200,SCENARIO
healthy,depreciation_amortization,-950,SCENARIO
healthy,ebit,1250,SCENARIO
healthy,interest_expense,-420,SCENARIO
healthy,income_tax,-150,SCENARIO
healthy,net_income,680,SCENARIO
healthy,operating_cash_flow,2000,SCENARIO
healthy,capital_expenditure,-1550,SCENARIO
healthy,free_cash_flow,450,SCENARIO
healthy,cash,1600,SCENARIO
healthy,debt,6000,SCENARIO
healthy,total_assets,22800,SCENARIO
healthy,total_liabilities,12000,SCENARIO
healthy,total_equity,10800,SCENARIO
healthy,net_working_capital,1760,SCENARIO
high_performance,revenue,30000,SCENARIO
high_performance,gross_profit,15825,SCENARIO
high_performance,ebitda,4800,SCENARIO
high_performance,depreciation_amortization,-1150,SCENARIO
high_performance,ebit,3650,SCENARIO
high_performance,interest_expense,-520,SCENARIO
high_performance,income_tax,-780,SCENARIO
high_performance,net_income,2350,SCENARIO
high_performance,operating_cash_flow,4400,SCENARIO
high_performance,capital_expenditure,-2050,SCENARIO
high_performance,free_cash_flow,2350,SCENARIO
high_performance,cash,3100,SCENARIO
high_performance,debt,6200,SCENARIO
high_performance,total_assets,28500,SCENARIO
high_performance,total_liabilities,13900,SCENARIO
high_performance,total_equity,14600,SCENARIO
high_performance,net_working_capital,2400,SCENARIO
canon_congruent_reference,revenue,2300,SCENARIO
canon_congruent_reference,gross_profit,1093.75,SCENARIO
canon_congruent_reference,ebitda,250,SCENARIO
canon_congruent_reference,depreciation_amortization,-135,SCENARIO
canon_congruent_reference,ebit,115,SCENARIO
canon_congruent_reference,interest_expense,-48,SCENARIO
canon_congruent_reference,income_tax,-17,SCENARIO
canon_congruent_reference,net_income,50,SCENARIO
canon_congruent_reference,operating_cash_flow,225,SCENARIO
canon_congruent_reference,capital_expenditure,-190,SCENARIO
canon_congruent_reference,free_cash_flow,35,SCENARIO
canon_congruent_reference,cash,260,SCENARIO
canon_congruent_reference,debt,650,SCENARIO
canon_congruent_reference,total_assets,2800,SCENARIO
canon_congruent_reference,total_liabilities,1550,SCENARIO
canon_congruent_reference,total_equity,1250,SCENARIO
canon_congruent_reference,net_working_capital,175,SCENARIO
