case,population,employees,cash_pay_per_employee,benefits_per_employee,enablement_per_employee,all_in_per_employee,total_all_in_usd_m,evidence_class
minimum_survival,foundry_field,5800,150000,45000,32000,227000,1316.6,SUPPORTED ESTIMATE
minimum_survival,willow,500,170000,51000,70000,291000,145.5,SUPPORTED ESTIMATE
minimum_survival,atlas_meridian,1200,165000,50000,40000,255000,306.0,SUPPORTED ESTIMATE
minimum_survival,pale_sun_red_wash,6500,85000,38000,30000,153000,994.5,SUPPORTED ESTIMATE
minimum_survival,project_cradle,800,125000,45000,45000,215000,172.0,SUPPORTED ESTIMATE
minimum_survival,aru_bst,25000,78000,36000,27000,141000,3525.0,SUPPORTED ESTIMATE
minimum_survival,advisory,4000,140000,42000,35000,217000,868.0,SUPPORTED ESTIMATE
minimum_survival,corporate_ess_ex_j2,2963,145000,44000,35000,224000,663.712,SUPPORTED ESTIMATE
minimum_survival,j2,237,155000,47000,70000,272000,64.464,SUPPORTED ESTIMATE
healthy,foundry_field,5800,150000,45000,32000,227000,1316.6,SUPPORTED ESTIMATE
healthy,willow,500,170000,51000,70000,291000,145.5,SUPPORTED ESTIMATE
healthy,atlas_meridian,1200,165000,50000,40000,255000,306.0,SUPPORTED ESTIMATE
healthy,pale_sun_red_wash,6500,85000,38000,30000,153000,994.5,SUPPORTED ESTIMATE
healthy,project_cradle,800,125000,45000,45000,215000,172.0,SUPPORTED ESTIMATE
healthy,aru_bst,25000,78000,36000,27000,141000,3525.0,SUPPORTED ESTIMATE
healthy,advisory,4000,140000,42000,35000,217000,868.0,SUPPORTED ESTIMATE
healthy,corporate_ess_ex_j2,2963,145000,44000,35000,224000,663.712,SUPPORTED ESTIMATE
healthy,j2,237,155000,47000,70000,272000,64.464,SUPPORTED ESTIMATE
high_performance,foundry_field,5800,150000,45000,32000,227000,1316.6,SUPPORTED ESTIMATE
high_performance,willow,500,170000,51000,70000,291000,145.5,SUPPORTED ESTIMATE
high_performance,atlas_meridian,1200,165000,50000,40000,255000,306.0,SUPPORTED ESTIMATE
high_performance,pale_sun_red_wash,6500,85000,38000,30000,153000,994.5,SUPPORTED ESTIMATE
high_performance,project_cradle,800,125000,45000,45000,215000,172.0,SUPPORTED ESTIMATE
high_performance,aru_bst,25000,78000,36000,27000,141000,3525.0,SUPPORTED ESTIMATE
high_performance,advisory,4000,140000,42000,35000,217000,868.0,SUPPORTED ESTIMATE
high_performance,corporate_ess_ex_j2,2963,145000,44000,35000,224000,663.712,SUPPORTED ESTIMATE
high_performance,j2,237,155000,47000,70000,272000,64.464,SUPPORTED ESTIMATE
canon_congruent_reference,foundry_field,1350,150000,45000,32000,227000,306.45,SUPPORTED ESTIMATE
canon_congruent_reference,willow,75,170000,51000,70000,291000,21.825,SUPPORTED ESTIMATE
canon_congruent_reference,atlas_meridian,225,165000,50000,40000,255000,57.375,SUPPORTED ESTIMATE
canon_congruent_reference,pale_sun_red_wash,550,85000,38000,30000,153000,84.15,SUPPORTED ESTIMATE
canon_congruent_reference,project_cradle,75,125000,45000,45000,215000,16.125,SUPPORTED ESTIMATE
canon_congruent_reference,aru_bst,1750,78000,36000,27000,141000,246.75,SUPPORTED ESTIMATE
canon_congruent_reference,advisory,375,140000,42000,35000,217000,81.375,SUPPORTED ESTIMATE
canon_congruent_reference,corporate_ess_ex_j2,363,145000,44000,35000,224000,81.312,SUPPORTED ESTIMATE
canon_congruent_reference,j2,237,155000,47000,70000,272000,64.464,SUPPORTED ESTIMATE
