case,segment,revenue_usd_m,gross_margin_pct,gross_profit_usd_m,employees,revenue_per_employee_usd,evidence_class
minimum_survival,foundry_field,3800,60.0,2280.0,5800,655172,SCENARIO
minimum_survival,willow,0,0,0,500,0,SCENARIO
minimum_survival,atlas_meridian,500,35.0,175.0,1200,416667,SCENARIO
minimum_survival,pale_sun_red_wash,2400,22.0,528.0,6500,369231,SCENARIO
minimum_survival,project_cradle,500,30.0,150.0,800,625000,SCENARIO
minimum_survival,aru_bst,7100,24.0,1704.0,25000,284000,SCENARIO
minimum_survival,advisory,1200,36.0,432.0,4000,300000,SCENARIO
healthy,foundry_field,6000,70.0,4200.0,5800,1034483,SCENARIO
healthy,willow,0,0,0,500,0,SCENARIO
healthy,atlas_meridian,1200,55.0,660.0,1200,1000000,SCENARIO
healthy,pale_sun_red_wash,3500,32.0,1120.0,6500,538462,SCENARIO
healthy,project_cradle,800,40.0,320.0,800,1000000,SCENARIO
healthy,aru_bst,8500,30.0,2550.0,25000,340000,SCENARIO
healthy,advisory,2000,43.0,860.0,4000,500000,SCENARIO
high_performance,foundry_field,9000,77.0,6930.0,5800,1551724,SCENARIO
high_performance,willow,0,0,0,500,0,SCENARIO
high_performance,atlas_meridian,2000,68.0,1360.0,1200,1666667,SCENARIO
high_performance,pale_sun_red_wash,4500,42.0,1890.0,6500,692308,SCENARIO
high_performance,project_cradle,1200,50.0,600.0,800,1500000,SCENARIO
high_performance,aru_bst,10300,35.0,3605.0,25000,412000,SCENARIO
high_performance,advisory,3000,48.0,1440.0,4000,750000,SCENARIO
canon_congruent_reference,foundry_field,1050,68.0,714.0,1350,777778,SCENARIO
canon_congruent_reference,willow,0,0,0,75,0,SCENARIO
canon_congruent_reference,atlas_meridian,120,42.0,50.4,225,533333,SCENARIO
canon_congruent_reference,pale_sun_red_wash,310,28.0,86.8,550,563636,SCENARIO
canon_congruent_reference,project_cradle,45,35.0,15.7,75,600000,SCENARIO
canon_congruent_reference,aru_bst,640,27.0,172.8,1750,365714,SCENARIO
canon_congruent_reference,advisory,135,40.0,54.0,375,360000,SCENARIO
