case,cost_family,annual_cost_usd_m,evidence_class
minimum_survival,labor,230,SUPPORTED ESTIMATE
minimum_survival,endpoints,80,SUPPORTED ESTIMATE
minimum_survival,enterprise_saas,120,SUPPORTED ESTIMATE
minimum_survival,cloud_network_observability,180,SUPPORTED ESTIMATE
minimum_survival,security_identity,80,SUPPORTED ESTIMATE
minimum_survival,developer_tooling,45,SUPPORTED ESTIMATE
minimum_survival,data_ai,120,SUPPORTED ESTIMATE
minimum_survival,backup_support_other,95,SUPPORTED ESTIMATE
healthy,labor,300,SUPPORTED ESTIMATE
healthy,endpoints,105,SUPPORTED ESTIMATE
healthy,enterprise_saas,165,SUPPORTED ESTIMATE
healthy,cloud_network_observability,260,SUPPORTED ESTIMATE
healthy,security_identity,110,SUPPORTED ESTIMATE
healthy,developer_tooling,65,SUPPORTED ESTIMATE
healthy,data_ai,220,SUPPORTED ESTIMATE
healthy,backup_support_other,75,SUPPORTED ESTIMATE
high_performance,labor,370,SUPPORTED ESTIMATE
high_performance,endpoints,135,SUPPORTED ESTIMATE
high_performance,enterprise_saas,210,SUPPORTED ESTIMATE
high_performance,cloud_network_observability,340,SUPPORTED ESTIMATE
high_performance,security_identity,155,SUPPORTED ESTIMATE
high_performance,developer_tooling,90,SUPPORTED ESTIMATE
high_performance,data_ai,175,SUPPORTED ESTIMATE
high_performance,backup_support_other,75,SUPPORTED ESTIMATE
canon_congruent_reference,labor,45,SUPPORTED ESTIMATE
canon_congruent_reference,endpoints,10,SUPPORTED ESTIMATE
canon_congruent_reference,enterprise_saas,15,SUPPORTED ESTIMATE
canon_congruent_reference,cloud_network_observability,15,SUPPORTED ESTIMATE
canon_congruent_reference,security_identity,10,SUPPORTED ESTIMATE
canon_congruent_reference,developer_tooling,5,SUPPORTED ESTIMATE
canon_congruent_reference,data_ai,10,SUPPORTED ESTIMATE
canon_congruent_reference,backup_support_other,5,SUPPORTED ESTIMATE
