case,population,employees,evidence_class
minimum_survival,foundry_field,5800,SCENARIO
minimum_survival,willow,500,SCENARIO
minimum_survival,atlas_meridian,1200,SCENARIO
minimum_survival,pale_sun_red_wash,6500,SCENARIO
minimum_survival,project_cradle,800,SCENARIO
minimum_survival,aru_bst,25000,SCENARIO
minimum_survival,advisory,4000,SCENARIO
minimum_survival,corporate_ess_ex_j2,2963,SCENARIO
minimum_survival,j2,237,LOCKED
healthy,foundry_field,5800,SCENARIO
healthy,willow,500,SCENARIO
healthy,atlas_meridian,1200,SCENARIO
healthy,pale_sun_red_wash,6500,SCENARIO
healthy,project_cradle,800,SCENARIO
healthy,aru_bst,25000,SCENARIO
healthy,advisory,4000,SCENARIO
healthy,corporate_ess_ex_j2,2963,SCENARIO
healthy,j2,237,LOCKED
high_performance,foundry_field,5800,SCENARIO
high_performance,willow,500,SCENARIO
high_performance,atlas_meridian,1200,SCENARIO
high_performance,pale_sun_red_wash,6500,SCENARIO
high_performance,project_cradle,800,SCENARIO
high_performance,aru_bst,25000,SCENARIO
high_performance,advisory,4000,SCENARIO
high_performance,corporate_ess_ex_j2,2963,SCENARIO
high_performance,j2,237,LOCKED
canon_congruent_reference,foundry_field,1350,SCENARIO
canon_congruent_reference,willow,75,SCENARIO
canon_congruent_reference,atlas_meridian,225,SCENARIO
canon_congruent_reference,pale_sun_red_wash,550,SCENARIO
canon_congruent_reference,project_cradle,75,SCENARIO
canon_congruent_reference,aru_bst,1750,SCENARIO
canon_congruent_reference,advisory,375,SCENARIO
canon_congruent_reference,corporate_ess_ex_j2,363,SCENARIO
canon_congruent_reference,j2,237,LOCKED
