account,name,account_type,opening,activity,adjustment,closing,difference
1000,Cash,asset,4198440,-703912,0,3494528,0
1100,"External receivables, net of allowance",asset,6120000,-1451868,0,4668132,0
1150,Intercompany receivable,asset,49240,-14723,0,34517,0
1200,Inventory cash cost,asset,1854000,13905,0,1867905,0
1300,Prepaids,asset,721000,0,0,721000,0
1400,PPE gross,asset,61550000,283250,0,61833250,0
1490,Accumulated PPE depreciation,asset,-2684091,-285488,0,-2969579,0
1500,Finance lease ROU gross,asset,2500000,0,0,2500000,0
1590,Accumulated finance lease ROU depreciation,asset,-491783,-41667,0,-533450,0
1600,Goodwill,asset,14762500,0,0,14762500,0
1700,"Debt issuance cost, contra term debt",liability,240968,-5000,0,235968,0
1800,Deferred tax asset on reserved liabilities,asset,587500,0,0,587500,0
2000,Trade payables,liability,-3090000,1482416,0,-1607584,0
2100,Operating accruals,liability,-1030000,0,0,-1030000,0
2110,Retention compensation payable,liability,-241781,241781,0,0,0
2200,Environmental reserve / ARO,liability,-1750000,0,0,-1750000,0
2250,Deferred tax liability on tax goodwill amortization,liability,-216667,-18055,0,-234722,0
2300,Claim reserve / other liabilities,liability,-600000,0,0,-600000,0
2400,Term debt face value,liability,-21375000,375000,0,-21000000,0
2410,Conditional replacement term debt,liability,0,0,0,0,0
2600,Finance lease obligation,liability,-2008219,41667,0,-1966552,0
2700,Current income tax payable / prepaid,current_settlement,0,0,0,0,0
2720,Accrued interest and financing services payable,liability,0,0,0,0,0
3000,Contributed equity,equity,-56004880,0,0,-56004880,0
3100,Prior retained earnings,equity,-3091227,0,0,-3091227,0
4000,External revenue,revenue,0,-3138132,0,-3138132,0
4100,Intercompany service revenue,revenue,0,-34517,0,-34517,0
5000,Payroll and employer burden,expense,0,1147239,0,1147239,0
5100,External operating cost,expense,0,1593679,0,1593679,0
5200,Incremental interface external operating cost,expense,0,23866,0,23866,0
5300,Depreciation in earnings,expense,0,327155,0,327155,0
5400,Interest and financing fees,expense,0,137130,0,137130,0
5501,Deferred income tax expense,expense,0,18055,0,18055,0
5700,Retention and seller consulting,expense,0,8219,0,8219,0
