scenario,entity,year,month,period,journal_id,account,account_name,account_type,debit_usd,credit_usd,signed_usd,source_id,source_type,description,segment,counterparty,cash_flow,available_at,record_origin,fact_state,period_role,effective_period_end
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000002,1100,"External receivables, net of allowance",asset,246974,0,246974,SALE-base-202701-BST-2025-001,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-001,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000002,4000,External revenue,revenue,0,246974,-246974,SALE-base-202701-BST-2025-001,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-001,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000003,1100,"External receivables, net of allowance",asset,106674,0,106674,SALE-base-202701-BST-2025-006,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-006,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000003,4000,External revenue,revenue,0,106674,-106674,SALE-base-202701-BST-2025-006,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-006,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000004,1100,"External receivables, net of allowance",asset,185420,0,185420,SALE-base-202701-BST-2025-002,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-002,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000004,4000,External revenue,revenue,0,185420,-185420,SALE-base-202701-BST-2025-002,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-002,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000005,1100,"External receivables, net of allowance",asset,83534,0,83534,SALE-base-202701-BST-2025-007,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-007,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000005,4000,External revenue,revenue,0,83534,-83534,SALE-base-202701-BST-2025-007,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-007,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000006,1100,"External receivables, net of allowance",asset,96011,0,96011,SALE-base-202701-BST-2025-004,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-004,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,ARU_GROUP,2027,1,2027-01,base-ARU_GROUP-2027-000006,4000,External revenue,revenue,0,96011,-96011,SALE-base-202701-BST-2025-004,CUSTOMER_INVOICE,Physical fulfilled units and declared contract price,BST,ARU-C-004,NONCASH_OR_OPENING,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
