case,check,left_usd,right_usd,difference_usd,tolerance_usd,status
ARU,Stock price + debt payoff = debt + parent equity before fees,61500000,61500000,0,0.02,PASS
ARU,Opening account 1000,2000000,2000000,0,0.02,PASS
ARU,Opening account 1100,6000000,6000000,0,0.02,PASS
ARU,Opening account 1200,1800000,1800000,0,0.02,PASS
ARU,Opening account 1300,700000,700000,0,0.02,PASS
ARU,Opening account 1400,42000000,42000000,0,0.02,PASS
ARU,Opening account 1500,2500000,2500000,0,0.02,PASS
ARU,Opening account 1600,14762500,14762500,0,0.02,PASS
ARU,Opening account 1700,300000,300000,0,0.02,PASS
ARU,Opening account 1800,587500,587500,0,0.02,PASS
ARU,Opening account 2000,-3000000,-3000000,0,0.02,PASS
ARU,Opening account 2100,-1000000,-1000000,0,0.02,PASS
ARU,Opening account 2200,-1750000,-1750000,0,0.02,PASS
ARU,Opening account 2300,-600000,-600000,0,0.02,PASS
ARU,Opening account 2400,-22500000,-22500000,0,0.02,PASS
ARU,Opening account 2600,-2500000,-2500000,0,0.02,PASS
ARU,Opening account 3000,-39300000,-39300000,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00001,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00002,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00003,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00004,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00005,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00006,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00007,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00008,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00009,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00010,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00011,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00012,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00013,0,0,0,0.02,PASS
