assets_usd,available_at,created_on,ending_cash_usd,entity,equity_usd,expense_usd,fact_state,financing_cash_flow_usd,investing_cash_flow_usd,liabilities_usd,month,net_income_usd,opening_cash_usd,opening_or_noncash_cash_bridge_usd,operating_cash_flow_usd,period_role,record_origin,revenue_usd,scenario,unit,view_type,year
40583988.3053,2026-09-09T00:00:00Z,2026-09-09,-12056411.6947,foundry-field,-10828211.6947,5370133.3280,CONDITIONAL_FORECAST,0.0000,0.0000,51412200.0000,1,-705133.3280,-10123078.3667,0.0000,-1933333.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
40167514.9773,2026-09-09T00:00:00Z,2026-09-09,38866054.9773,foundry-field,-6579685.0227,416473.3280,CONDITIONAL_FORECAST,0.0000,0.0000,46747200.0000,2,4248526.6720,-12056411.6947,0.0000,50922466.6720,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
38092821.6493,2026-09-09T00:00:00Z,2026-09-09,36835521.6493,foundry-field,-3989378.3507,2074693.3280,CONDITIONAL_FORECAST,0.0000,0.0000,42082200.0000,3,2590306.6720,38866054.9773,0.0000,-2030533.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
36117488.3213,2026-09-09T00:00:00Z,2026-09-09,35356988.3213,foundry-field,-1299711.6787,1975333.3280,CONDITIONAL_FORECAST,0.0000,0.0000,37417200.0000,4,2689666.6720,36835521.6493,0.0000,-1478533.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
34473454.9933,2026-09-09T00:00:00Z,2026-09-09,34473454.9933,foundry-field,1721254.9933,1621033.3280,CONDITIONAL_FORECAST,0.0000,0.0000,32752200.0000,5,3020966.6720,35356988.3213,0.0000,-883533.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4642000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
32511521.6653,2026-09-09T00:00:00Z,2026-09-09,32442921.6653,foundry-field,4364321.6653,2031933.3280,CONDITIONAL_FORECAST,0.0000,0.0000,28147200.0000,6,2643066.6720,34473454.9933,0.0000,-2030533.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4675000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
30499705.0040,2026-09-09T00:00:00Z,2026-09-09,30470305.0040,foundry-field,7002505.0040,2027316.6613,CONDITIONAL_FORECAST,0.0000,0.0000,23497200.0000,7,2638183.3387,32442921.6653,0.0000,-1972616.6613,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4665500.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
28457688.3427,2026-09-09T00:00:00Z,2026-09-09,28457688.3427,foundry-field,9756488.3427,1897016.6613,CONDITIONAL_FORECAST,0.0000,0.0000,18701200.0000,8,2753983.3387,30470305.0040,0.0000,-2012616.6613,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,4651000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
29573875.0147,2026-09-09T00:00:00Z,2026-09-09,25787155.0147,foundry-field,12677475.0147,2112013.3280,CONDITIONAL_FORECAST,0.0000,0.0000,16896400.0000,9,2920986.6720,28457688.3427,0.0000,-2670533.3280,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5033000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
29067938.3534,2026-09-09T00:00:00Z,2026-09-09,27778338.3534,foundry-field,15862738.3534,1827736.6613,CONDITIONAL_FORECAST,0.0000,0.0000,13205200.0000,10,3185263.3387,25787155.0147,0.0000,1991183.3387,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5013000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
28511721.6921,2026-09-09T00:00:00Z,2026-09-09,27049721.6921,foundry-field,18932121.6921,2058616.6613,CONDITIONAL_FORECAST,0.0000,0.0000,9579600.0000,11,3069383.3387,27778338.3534,0.0000,-728616.6613,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5128000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
28133105.0308,2026-09-09T00:00:00Z,2026-09-09,26498705.0308,foundry-field,22128505.0308,2061616.6613,CONDITIONAL_FORECAST,0.0000,0.0000,6004600.0000,12,3196383.3387,27049721.6921,0.0000,-551016.6613,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5258000.0000,base,foundry-field,OPERATING_SEGMENT_SIGNED_NET_REPORTING_CLEARING,2027
