case,month,journal_legs,debits_usd,credits_usd,cash_change_usd
ARU,0,16,70650000,70650000,2000000
ARU,1,126,10575295,10575295,0
ARU,2,128,17198712,17198712,0
ARU,3,126,17846896,17846896,179616
ARU,4,130,18222278,18222278,-179616
ARU,5,128,18796869,18796869,599564
ARU,6,130,19053631,19053631,339093
ARU,7,172,17341755,17341755,-42713
ARU,8,182,16742548,16742548,587049
ARU,9,196,17142064,17142064,214224
ARU,10,196,17157662,17157662,242796
ARU,11,192,15881385,15881385,221651
ARU,12,204,13906989,13906989,36776
Red Wash,0,11,66280216,66280216,2000000
Red Wash,1,30,15312298,15312298,0
Red Wash,2,30,16612298,16612298,0
Red Wash,3,30,16612296,16612296,0
Red Wash,4,30,16612294,16612294,0
Red Wash,5,30,16612289,16612289,0
Red Wash,6,30,16612289,16612289,0
Red Wash,7,52,15342356,15342356,0
Red Wash,8,60,15372881,15372881,0
Red Wash,9,66,15407450,15407450,0
Red Wash,10,66,15440525,15440525,0
Red Wash,11,66,15473163,15473163,0
Red Wash,12,74,16021543,16021543,0
