entity,year,account,account_name,type,debit_balance_usd,credit_balance_usd,signed_usd,period_role,record_origin,fact_state,as_of_cutoff,effective_period_end,available_at
RWH_PS,2026,1000,Cash,asset,2000000,0,2000000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,1100,"External receivables, net of allowance",asset,4550000,0,4550000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,1200,Inventory cash cost,asset,8608462,0,8608462,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,1210,Inventory DD&A,asset,1073654,0,1073654,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,1300,Prepaids,asset,500000,0,500000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,1400,PPE gross,asset,62250000,0,62250000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,1490,Accumulated PPE depreciation,asset,0,3581250,-3581250,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,2000,Trade payables,liability,0,3000000,-3000000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,2150,Intercompany payable,liability,0,49240,-49240,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,2200,Environmental reserve / ARO,liability,0,17281868,-17281868,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,2300,Claim reserve / other liabilities,liability,0,2500000,-2500000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,3000,Contributed equity,equity,0,55439133,-55439133,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,3100,Prior retained earnings,equity,3467716,0,3467716,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,4000,External revenue,revenue,0,36475000,-36475000,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,5100,External operating cost,expense,31221038,0,31221038,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,5150,Intercompany logistics expense,expense,171380,0,171380,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,5200,Incremental interface external operating cost,expense,87400,0,87400,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,5300,Depreciation in earnings,expense,3195096,0,3195096,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,5500,Modeled income tax,expense,131343,0,131343,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
RWH_PS,2026,5600,ARO accretion,expense,1070402,0,1070402,MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
