site_id,building_id,floor_id,room_id,name,area_m2,access,geometry_role,assigned_desks,shared_desks,touchdown_seats,training_seats,meeting_seats,dining_seats,resident_beds,special_use_capacity,source
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R01,Focus west,40.134113279999994,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R02,Calls west,30.100584959999996,staff,partitioned_room,0,0,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R03,Focus east,40.134113279999994,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R04,Calls east,30.100584959999996,staff,partitioned_room,0,0,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R05,Huddle 1,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R06,Huddle 2,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R07,Huddle 3,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R08,Huddle 4,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R09,Shared project room 1,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R10,Shared project room 2,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R11,Shared project room 3,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R12,Shared project room 4,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R13,Advisory common bench,321.07290623999995,staff,partitioned_room,0,24,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R14,Corporate commons / 80 dining seats,321.07290623999995,public,partitioned_room,0,0,0,0,0,80,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R15,Client reception and hospitality,160.53645311999998,public,partitioned_room,4,0,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L01,SH-SITE-0001-A-L01-R16,Visiting workplaces,160.53645311999998,staff,partitioned_room,0,0,12,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R01,Focus west,40.134113279999994,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R02,Calls west,30.100584959999996,staff,partitioned_room,0,0,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R03,Focus east,40.134113279999994,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R04,Calls east,30.100584959999996,staff,partitioned_room,0,0,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R05,Huddle 1,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R06,Huddle 2,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R07,Huddle 3,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R08,Huddle 4,26.75607552,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R09,Shared project room 1,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R10,Shared project room 2,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R11,Shared project room 3,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R12,Shared project room 4,59.4579456,staff,partitioned_room,0,0,0,0,8,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R13,Foundry Field west studio,321.07290623999995,staff,partitioned_room,0,40,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R14,Foundry Field south studio,321.07290623999995,staff,partitioned_room,0,40,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L02,SH-SITE-0001-A-L02-R15,Atlas Meridian product development,321.07290623999995,staff,partitioned_room,32,0,0,0,0,0,0,,geospatial/facilities/source/campus.json
SH-SITE-0001,SH-SITE-0001-A,SH-SITE-0001-A-L03,SH-SITE-0001-A-L03-R01,Focus west,40.134113279999994,staff,partitioned_room,0,0,0,0,4,0,0,,geospatial/facilities/source/campus.json
