object_id,source_id,source_path,source_locator,decision_id,status
SH-SITE-0001,SRC-1412A4959F32,docs/canon/DECISION_REGISTER_ADDENDUM_2026-09-03.md,line:36,GEO-D001,CANON_CONSTRAINED
SH-SITE-0002,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:91,GEO-D002,CONFLICTING
SH-SITE-0003,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:706,GEO-D002,CANON_CONSTRAINED
SH-SITE-0004,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:88,GEO-D007,HISTORICAL
SH-SITE-0005,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:347,GEO-D003,CANON_CONSTRAINED
SH-SITE-0006,SRC-ADDENDUM-20260905,geospatial/sources/GOVERNING_CANON_ADDENDUM_2026-09-05.md,section:2.1-2.3,GEO-D010,CANON_SITED
SH-SITE-0007,SRC-ADDENDUM-20260905,geospatial/sources/GOVERNING_CANON_ADDENDUM_2026-09-05.md,section:2.5-2.6,GEO-D012,CANON_CONSTRAINED
SH-SITE-0008,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:448,GEO-D006,CANON_CONSTRAINED
SH-SITE-0009,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:68,GEO-D008,CANON_CONSTRAINED
SH-SITE-0010,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:27,GEO-D008,CANON_CONSTRAINED
SH-SITE-0011,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:655,GEO-D008,PROPOSED
SH-SITE-0012,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:656,GEO-D008,PROPOSED
SH-SITE-0013,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:657,GEO-D008,PROPOSED
