source_path,source_commit,bytes,file_sha256,extraction_method,extracted_text_units
.env.example,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,49,89d1e75df6bcc2e9e6ea1de527ea8e1d78136a1b8c5f2df11aa5f1021403901e,TEXT_SCANNED,1
.github/CODEOWNERS,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,292,a03d23938478dc35ac7d0a6db656661bea25924f6f5fefe8e674e1b3d48577e8,TEXT_SCANNED,11
.github/ISSUE_TEMPLATE/unit-audit-gap.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1919,0b8f4345ac7d91172a5d1aec6550c625e9f6a947a4a3f330e258a28539cd5505,TEXT_SCANNED,74
.github/PULL_REQUEST_TEMPLATE.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1146,216861f2d7356b4963a1657401237c7abbbb5891d7846fc7cab6731f0f05f1fd,TEXT_SCANNED,43
.github/workflows/blackridge-ci.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1508,fb004bc9d3efa77902408cefeff0ba3c730bb3e2ea6ab86190b599e0e950e7e9,TEXT_SCANNED,39
.github/workflows/blackridge-full-build.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,861,11483e1cee0a8cfbde924094d834f5f63cef5998c20cebedee3e7fe80ec46a1b,TEXT_SCANNED,23
.github/workflows/finance-platform-ci.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,4141,d12a7b88e6c0da6ef9cbfe0f8c2cd135b94c05cbc5c2521538085b53e239fb07,TEXT_SCANNED,93
.github/workflows/red-wash-case-ci.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,11145,9e980ab23baa2457671ae69a85fd7d4e83602eeb87847cd08cb0fd1a330da275,TEXT_SCANNED,245
.github/workflows/validate-governance-j2.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,996,21908ec697336ac9c89cb08b6e8119fac84ba3108ab7715a30fd4a38b918469c,TEXT_SCANNED,34
.github/workflows/validate-organization-charts.yml,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1004,3cff54bac9d89613206d49eb3b66e24ab24689e9147bb6a64ab89e9b1a446022,TEXT_SCANNED,41
.gitignore,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,535,a70cca79066335953f2087965f259eb1848528b2ca56468feac2f5189c7235a6,TEXT_SCANNED,32
CONTRIBUTING.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,629,0f9ef6a10495129480be28c33874e215d8b5fc18696c4ee5f5731edb8e1f663a,TEXT_SCANNED,7
LICENSE.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,312,593bb2894609369016da0522529664aac73640e5d76c8065978a788a180a8784,TEXT_SCANNED,5
MAINTAINERS.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,5254,02397c45d2b562fb0bf12af02e118660f67dbf28ed84d86b783fb615edd8765a,TEXT_SCANNED,109
Makefile,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1209,68da4180366beaf21f7c7c7f47d99ce7ab142bc975997f6f28188cc56ac52d45,TEXT_SCANNED,59
README.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,9138,a9a106cbe6fe84287dab16073f4abc36ac1c7226c5220834688b0cc42152c840,TEXT_SCANNED,105
RED_WASH.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,820,fc5c7f4bcddebfd26afa728190b62e3479344fb00011af6039c3a857d8b4cb78,TEXT_SCANNED,14
SECURITY.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,448,a5b98acc8c89d1a64bf5b3d3900f85576058a595d46dfe1f9051356a7d60d641,TEXT_SCANNED,5
alembic.ini,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,601,96bb2510cc0532d074cc0839d30992347b5aeb078e462b3945aefba97d7bd5d7,TEXT_SCANNED,32
assets/brand/BRAND_STANDARDS.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,5731,3e747db1cd90c687f4e05e376572b7867ec9754ab03d75b6470fbef5e0c8f8e0,TEXT_SCANNED,90
assets/brand/FONT_PROVENANCE.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1524,ccacd8abb16086b38f43f956b51274dfeb6adf1eacda37992019c1ff130e2bf5,TEXT_SCANNED,28
assets/brand/MANIFEST_SCOPE.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1221,981d96024832af7692a5af3b5e0213d06184bb7a0d0b7b73da8b13fad249efea,TEXT_SCANNED,22
assets/brand/README.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,6764,c0539f3c4969fc7be33b94df072211d728575a553859e4bfdaa07aad7096ef17,TEXT_SCANNED,104
assets/brand/VALIDATION.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,3264,80ca4c96668b673f726a8ff8313fcac4f5c80c4e00cb98b666ab7a2b3516eb35,TEXT_SCANNED,67
assets/brand/collateral/README.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1779,24ef9673782e1837bfcee497ccce18a067eb30438d1a1d43fbfd00f7bcaa66da,TEXT_SCANNED,40
assets/brand/collateral/guides/sable-harbor-brand-standards-v0.2.0.pdf,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,155809,8c9f6de08ae76e5512754cce81f586e32712cf06006c11a59d7be6790af33271,PDF_TEXT_EXTRACTED_VISUAL_REVIEW_SEPARATE,178
assets/brand/collateral/letterhead/business-lines/README.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1324,ab39b36af1ce10f2cd245d741eb1ef3aaf735c9c2ef20438585555db3581fb2d,TEXT_SCANNED,14
assets/brand/collateral/letterhead/business-lines/advisory-letterhead-us-letter.svg,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1916,70794167b56b6d7847803c319a5e200b147cae6c2a41f4e482aa7c07af216fab,TEXT_SCANNED,17
assets/brand/collateral/letterhead/business-lines/american-resource-utility-letterhead-us-letter.svg,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1967,418135804b71c25fc67b777bbfa36e5f83c7d1eae47816b04c5698441d609c5e,TEXT_SCANNED,17
assets/brand/collateral/letterhead/business-lines/atlas-meridian-letterhead-us-letter.svg,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1934,4a473cc936af9ec9a385e6c92b750c78ca0452d86adb7d08d0b267daae8ca442,TEXT_SCANNED,17
assets/brand/collateral/letterhead/business-lines/foundry-field-letterhead-us-letter.svg,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1931,49c8847c8be139cd100c9d31b65d5f51c8c433d74f7938042c32dfd4b0ee50ff,TEXT_SCANNED,17
assets/brand/collateral/letterhead/business-lines/pale-sun-letterhead-us-letter.svg,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1907,3683f4b0d295ce22dbab19980eb71626a7befb6531a3403e7ccd51c2fd6ed7e7,TEXT_SCANNED,17
assets/brand/collateral/letterhead/business-lines/project-cradle-letterhead-us-letter.svg,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,1934,818d70ba7bf07ebfcb1c1924f0d0950e7718bbe43d668ad17633019ae481ab4d,TEXT_SCANNED,17
