source_id,organization,title,url,use,state
NRC-UR,U.S. Nuclear Regulatory Commission,Uranium Recovery,https://www.nrc.gov/materials/uranium-recovery,10 CFR Parts 20 and 40 and Appendix A,EXTERNAL_REALITY_ANCHOR
NRC-CM,U.S. Nuclear Regulatory Commission,Conventional Uranium Mills,https://www.nrc.gov/materials/uranium-recovery/extraction-methods/conventional-mills,Conventional mill and tailings architecture,EXTERNAL_REALITY_ANCHOR
NRC-MT,U.S. Nuclear Regulatory Commission,Uranium Mill Tailings,https://www.nrc.gov/waste/mill-tailings,Decommissioning groundwater surety and surveillance,EXTERNAL_REALITY_ANCHOR
EPA-192,U.S. Environmental Protection Agency,40 CFR Part 192,https://www.epa.gov/radiation/health-and-environmental-protection-standards-uranium-and-thorium-mill-tailings-40-cfr,Uranium mill tailings standards,EXTERNAL_REALITY_ANCHOR
EPA-W,U.S. Environmental Protection Agency,Subpart W,https://www.epa.gov/radiation/subpart-w-national-emission-standards-radon-emissions-operating-mill-tailings,Radon controls for operating tailings,EXTERNAL_REALITY_ANCHOR
WDEQ-UR,Wyoming Department of Environmental Quality,Uranium Recovery Program,https://deq.wyoming.gov/land-quality/uranium/,Wyoming uranium licensing,EXTERNAL_REALITY_ANCHOR
WDEQ-LQ,Wyoming Department of Environmental Quality,Land Quality Division,https://deq.wyoming.gov/land-quality/,Mine permitting and reclamation,EXTERNAL_REALITY_ANCHOR
BLM-3809,Bureau of Land Management,Surface Management,https://www.blm.gov/programs/energy-and-minerals/mining-and-minerals/locatable-materials/surface-management,43 CFR 3809 and NEPA,EXTERNAL_REALITY_ANCHOR
EIA-UMAR,U.S. Energy Information Administration,Uranium Marketing Annual Report,https://www.eia.gov/uranium/marketing/index.php,Utility uranium contracts and delivered prices,EXTERNAL_REALITY_ANCHOR
MSHA,Mine Safety and Health Administration,Standards and Regulations,https://www.msha.gov/regulations/standards-regulations,Metal and nonmetal mine safety,EXTERNAL_REALITY_ANCHOR
PHMSA,Pipeline and Hazardous Materials Safety Administration,Regulations,https://www.phmsa.dot.gov/regulations,Hazardous-material transport,EXTERNAL_REALITY_ANCHOR
